name,point,type
冠都公寓,"[[121.47360570024294, 31.267169820231054]]",1.0
紫薇阁,"[[121.45818222013341, 31.26717391484432]]",1.0
上环公寓,"[[121.4599311002402, 31.267179270307153]]",1.0
和田公寓,"[[121.46359823966716, 31.267250010079948]]",1.0
上海海运局青云宿舍,"[[121.47090245958087, 31.26726157536148]]",1.0
冠秀公寓,"[[121.46494428015441, 31.267313774711035]]",1.0
虹口花苑,"[[121.47165539987694, 31.26738343529731]]",1.0
和源名邸,"[[121.45842269974787, 31.267404090026794]]",1.0
安吉里,"[[121.48346250009438, 31.2674194351588]]",1.0
恒业公寓,"[[121.46868090030344, 31.26749427044424]]",1.0
和诚公寓,"[[121.46071338001857, 31.267500705093582]]",1.0
新宜小区,"[[121.43157534032977, 31.267501154754513]]",1.0
和福花苑,"[[121.45831163977039, 31.267503494790503]]",1.0
申地公寓,"[[121.45655268006217, 31.26751802963343]]",1.0
中星海上名豪苑,"[[121.32703656018921, 31.26755398542813]]",1.0
同家巷小区,"[[121.42687103976672, 31.267556505328507]]",1.0
三阳小区,"[[121.46483231995569, 31.267582650419044]]",1.0
延长中路628弄小区,"[[121.44584771969656, 31.267594845225986]]",1.0
恒日楼,"[[121.46886108037458, 31.267614464835745]]",1.0
洛东苑,"[[121.44802877980447, 31.26762152990969]]",1.0
周家巷小区,"[[121.42737324008307, 31.267647854864705]]",1.0
吉祥苑,"[[121.48400898033029, 31.267653480124075]]",1.0
梅邨,"[[121.51850130019486, 31.26766441498083]]",1.0
东旺雍景苑,"[[121.41808578033452, 31.267679174654226]]",1.0
金鼎公寓,"[[121.39258553969091, 31.267688714662476]]",1.0
嘉华苑,"[[121.41263016005391, 31.26770365509963]]",1.0
同安楼,"[[121.4729798404474, 31.26771629956759]]",1.0
嘉城东区,"[[121.34366964014177, 31.267752884887784]]",1.0
恒通公寓,"[[121.46859899994396, 31.2677731798884]]",1.0
万里雅筑,"[[121.39898022036097, 31.26785413506039]]",1.0
敏德坊,"[[121.47623423961852, 31.267865474611995]]",1.0
锦沧公寓,"[[121.4460477001413, 31.267874744823615]]",1.0
和田公寓,"[[121.45815936026635, 31.26788203472821]]",1.0
乐业公寓,"[[121.4608118395949, 31.267889820159084]]",1.0
巴黎之春,"[[121.40192771958868, 31.26789202529676]]",1.0
横浜路323／325号小区,"[[121.47204438004421, 31.267903005119678]]",1.0
中环家园,"[[121.40860752042079, 31.267941659779773]]",1.0
嘉宏紫薇园,"[[121.4744655600376, 31.267949984803998]]",1.0
申地苑,"[[121.46300172025329, 31.267966095259098]]",1.0
海上海,"[[121.50519047955706, 31.267992824909058]]",1.0
合生高尔夫公寓,"[[121.5134449204468, 31.26801996015307]]",1.0
大陆新邨,"[[121.48024211957816, 31.26805677030373]]",1.0
东照里,"[[121.48052328002544, 31.26806757026217]]",1.0
安业公寓,"[[121.46899913979846, 31.268083454987526]]",1.0
金上海家园,"[[121.51695258039729, 31.268092950029697]]",1.0
鑫安公寓,"[[121.45645997974427, 31.268116214591622]]",1.0
新长小区,"[[121.42965312039534, 31.26812364029381]]",1.0
普陀区灵石小区,"[[121.41856655969902, 31.26815941532483]]",1.0
飘鹰公寓,"[[121.46910911969024, 31.268183445209935]]",1.0
锦丽斯公寓,"[[121.51100645998018, 31.268187809619747]]",1.0
同和苑小区,"[[121.47525792031685, 31.268201580038955]]",1.0
乾鸿苑,"[[121.50126306014212, 31.268229389774532]]",1.0
悠和家园,"[[121.44868992000386, 31.268231999607153]]",1.0
永乐苑,"[[121.44157308013362, 31.268349764929802]]",1.0
宝钢又一村,"[[121.50898793974167, 31.268385989621756]]",1.0
建邦16区,"[[121.49216027977317, 31.268390940389644]]",1.0
宁兴上尚湾,"[[121.32851346012818, 31.268400975025074]]",1.0
新柳公寓,"[[121.45464954014426, 31.268439810448932]]",1.0
瑞虹新城三期,"[[121.49642646031295, 31.268465145250296]]",1.0
华江·景城,"[[121.33594673995015, 31.268537010075057]]",1.0
口福家常菜,"[[121.38498287975617, 31.26854470467441]]",1.0
昌大公寓,"[[121.50719910005853, 31.2685843953536]]",1.0
兴业坊,"[[121.48062102014401, 31.268586284829198]]",1.0
大连小区,"[[121.50154295973985, 31.268599514755863]]",1.0
东银茗苑,"[[121.509187740322, 31.2686261104067]]",1.0
欧二小区,"[[121.4871154203404, 31.268826449680937]]",1.0
久乐苑,"[[121.44222468032476, 31.268840534862846]]",1.0
中星海上名豪苑（二期）星御湾,"[[121.32827387983568, 31.268871225126958]]",1.0
宝钢又一村北区,"[[121.50785880044343, 31.268884859748567]]",1.0
新陆花苑,"[[121.4886425402211, 31.268947139598907]]",1.0
山三小区,"[[121.48069931961804, 31.268985299631908]]",1.0
SVA·世博花园,"[[121.48715610027386, 31.268996954845683]]",1.0
新灵小区,"[[121.42202076034985, 31.26904780521209]]",1.0
金叶商楼,"[[121.4823934795755, 31.269054149929104]]",1.0
长新小区,"[[121.42830275956473, 31.269057120389874]]",1.0
长新小区西区,"[[121.42807164009423, 31.26907633530469]]",1.0
现代星洲城三期,"[[121.51768212033366, 31.26916322959947]]",1.0
新理想家园,"[[121.4534201399276, 31.26919405476189]]",1.0
水韵华庭,"[[121.41469278034768, 31.269204809754257]]",1.0
新村公寓,"[[121.43545865968944, 31.269228704741046]]",1.0
同济里壹街,"[[121.47247907994563, 31.26928009470062]]",1.0
上海教育高级人才第三工作公寓,"[[121.40144820017437, 31.26931191001669]]",1.0
万里名轩,"[[121.4053253996475, 31.26931946971782]]",1.0
同济里贰街,"[[121.47226775994918, 31.269359250329252]]",1.0
延长小区,"[[121.43606129988915, 31.269370185185913]]",1.0
申客小区,"[[121.50184283957547, 31.269379500363698]]",1.0
嘉城·爱琴海,"[[121.3407161999927, 31.26938778042176]]",1.0
