name,point,type
千鹤小区,"[[121.41529757981951, 31.179783015373935]]",1.0
金汇丽舍韵动时代,"[[121.37049720008581, 31.17979012541396]]",1.0
荣德公寓,"[[121.34201075968886, 31.179997080101217]]",1.0
苍梧路468弄,"[[121.40695493971873, 31.180012380267236]]",1.0
吴中路970弄,"[[121.3848242996019, 31.180158809681345]]",1.0
明佳公寓,"[[121.4106575403133, 31.180184415178623]]",1.0
虹梅路2806弄小区,"[[121.38992964024078, 31.180214879712985]]",1.0
长春新苑,"[[121.41089801992766, 31.180374764783586]]",1.0
吴中路940弄,"[[121.38546348015555, 31.180458104957637]]",1.0
龙柏三村三小区,"[[121.3626141000607, 31.180545584711034]]",1.0
天鸿公寓,"[[121.39278695995031, 31.180562414623786]]",1.0
华利公寓,"[[121.41014633958196, 31.18056331484511]]",1.0
君华阁,"[[121.38740171971372, 31.1806165052475]]",1.0
金汇鸿锦苑,"[[121.36565124011268, 31.18078304979801]]",1.0
金虹桥·东苑怡和园,"[[121.38900029972413, 31.180795109706636]]",1.0
虹桥晶典苑,"[[121.39001928016567, 31.18081432462145]]",1.0
君馨阁,"[[121.38694199977348, 31.180826700192064]]",1.0
晟虹新景苑,"[[121.34521440022448, 31.180871339840486]]",1.0
惠工新村,"[[121.40734446037854, 31.181011650267493]]",1.0
君怡公寓,"[[121.38720174016828, 31.181036309678007]]",1.0
中祥金祥苑,"[[121.41579887991438, 31.181043509650273]]",1.0
君缘阁,"[[121.38748145990152, 31.18112604043452]]",1.0
龙柏西郊公寓,"[[121.35627269972545, 31.181152680152152]]",1.0
龙柏三村101～141号,"[[121.36340304021817, 31.181344379639462]]",1.0
吴中路870弄小区,"[[121.38713171985304, 31.1813960852612]]",1.0
南林公寓,"[[121.4219723399516, 31.181434649989143]]",1.0
虹桥村王前小区,"[[121.38092711989079, 31.181450805410414]]",1.0
龙柏金铃公寓,"[[121.3603354796987, 31.181716439961832]]",1.0
龙柏二村,"[[121.35734046029404, 31.181760629949146]]",1.0
金坤花园,"[[121.36934736019265, 31.18182943528027]]",1.0
沪江园区,"[[121.3480787400419, 31.181856119964067]]",1.0
金汇花园四街坊,"[[121.36965713976521, 31.18188915026407]]",1.0
天一小区,"[[121.34837808028416, 31.1819055745826]]",1.0
华鼎广场,"[[121.42833552006829, 31.181965244600413]]",1.0
欣嘉苑,"[[121.4045063996507, 31.18197276023475]]",1.0
龙柏四村,"[[121.35932657975786, 31.181977169610725]]",1.0
龙柏三村龙兴苑,"[[121.36222368007884, 31.18200475541512]]",1.0
航天公寓（二期）,"[[121.40648496031267, 31.182031574997232]]",1.0
金汇花园三街坊＜先锋公寓＞,"[[121.36543073983687, 31.182102224837877]]",1.0
旅专小区,"[[121.39241652020638, 31.182171434863946]]",1.0
广厦公寓,"[[121.41182015957283, 31.1821758451392]]",1.0
金祥苑,"[[121.41465641985795, 31.182220980314]]",1.0
飞尔航空乘务进修学校学生公寓,"[[121.34687111960659, 31.182297929905587]]",1.0
航天公寓,"[[121.40688474043847, 31.182311204798324]]",1.0
汇金公寓,"[[121.36217364000152, 31.182384510336945]]",1.0
徐汇长春苑,"[[121.41714186000888, 31.18244544030486]]",1.0
虹梅路2964弄小区,"[[121.38845003963766, 31.182484229863356]]",1.0
桂林苑南区,"[[121.4085234598898, 31.182500205420148]]",1.0
外贸生活小区,"[[121.38955901973307, 31.182543315321837]]",1.0
龙柏三村红松路先锋公寓,"[[121.36113450035688, 31.18254515983127]]",1.0
田林·兰桂坊,"[[121.4106676199148, 31.18264357534079]]",1.0
徐汇·玺庭,"[[121.4125016397389, 31.18274689485338]]",1.0
桂林苑北区,"[[121.408143660002, 31.18279022958545]]",1.0
桂林新苑,"[[121.4112288598241, 31.18284454503972]]",1.0
世家花园,"[[121.41580896041526, 31.182992819862804]]",1.0
豪嘉府邸,"[[121.3830745201731, 31.183057935275514]]",1.0
新悦公寓,"[[121.36393170038777, 31.183072605016754]]",1.0
宝虹公寓,"[[121.36705884009353, 31.18316012973623]]",1.0
田图苑,"[[121.34648195957485, 31.183248194948327]]",1.0
龙柏三村,"[[121.36398155970133, 31.18329238493564]]",1.0
华苑大厦,"[[121.42950876032114, 31.183387425289453]]",1.0
凯迪·虹桥晶舍,"[[121.40925462040443, 31.183500690404607]]",1.0
虹梅路2986弄,"[[121.38887916014515, 31.18354307994919]]",1.0
虹梅别墅,"[[121.38732053971128, 31.183554284602664]]",1.0
公安住宅小区,"[[121.42067975966327, 31.183571520109638]]",1.0
华菁公寓,"[[121.34966561987254, 31.18360270500093]]",1.0
舒兴小区,"[[121.34740014040426, 31.183636454758677]]",1.0
佳信花苑,"[[121.35989538026767, 31.18368550468235]]",1.0
东航机组公寓,"[[121.36633937975867, 31.183690274686477]]",1.0
虹桥村王后小区,"[[121.37883803974378, 31.18377060033297]]",1.0
龙柏公寓,"[[121.36308210005892, 31.18384268998819]]",1.0
