name,point,type
延吉四村,"[[121.53419531975833, 31.29588881991316]]",1.0
广苑小区,"[[121.46248673967139, 31.295889944965033]]",1.0
新一小区,"[[121.47682320023054, 31.296009195068336]]",1.0
复旦第六宿舍,"[[121.50124056000392, 31.29607408475121]]",1.0
民东公寓南区,"[[121.31288513963747, 31.296118139840388]]",1.0
国定路140弄小区,"[[121.51064861973802, 31.29614397016813]]",1.0
民治路12弄,"[[121.54756643993926, 31.296180284792328]]",1.0
浦江东旭公寓西区,"[[121.57956233983023, 31.296240899997628]]",1.0
延吉大楼,"[[121.53419531975833, 31.296248730394666]]",1.0
永红新村,"[[121.30266582037146, 31.29625547980654]]",1.0
水洞港路69弄小区,"[[121.66127459974302, 31.296393089569506]]",1.0
德华二村,"[[121.30472231987929, 31.296432555418136]]",1.0
海鹏公寓,"[[121.51312182011603, 31.296447719786478]]",1.0
古猗庄园,"[[121.32549864034999, 31.296455460251366]]",1.0
松花公寓,"[[121.53454523967119, 31.296468959974575]]",1.0
车站南路407弄住宅小区,"[[121.46911452011915, 31.296475980082448]]",1.0
长白新城,"[[121.53943187957759, 31.2964831800548]]",1.0
民治路15弄,"[[121.54694687989466, 31.29651962957731]]",1.0
车站南路1342弄1344弄小区,"[[121.47096311975224, 31.296543479597936]]",1.0
德华三村,"[[121.30422317995594, 31.296603194581827]]",1.0
复旦宿舍0号楼,"[[121.50155987958493, 31.296674025186142]]",1.0
凉东小区,"[[121.46914890030158, 31.2967286554032]]",1.0
永和三村,"[[121.42652922004751, 31.29674152470163]]",1.0
绿墅湾,"[[121.39204752027692, 31.29680025043124]]",1.0
永和教师苑,"[[121.42690956042796, 31.296801870110208]]",1.0
水电路1321弄小区,"[[121.47307865975249, 31.296805245265922]]",1.0
德华一村,"[[121.3088337001152, 31.296855104579485]]",1.0
复旦第十宿舍,"[[121.50307007962053, 31.296894840224752]]",1.0
佳龙花园,"[[121.53185712021003, 31.296906495438435]]",1.0
高行家园,"[[121.60834091959784, 31.296961259654438]]",1.0
高行家园（西区）,"[[121.60603116020991, 31.296961935045296]]",1.0
市北·新中新,"[[121.45446377977966, 31.296966794981657]]",1.0
民东公寓北区,"[[121.31398278018125, 31.296975840362812]]",1.0
复旦第十二宿舍,"[[121.50394019978046, 31.29700531474353]]",1.0
文粤家园,"[[121.46256576040162, 31.29705157497029]]",1.0
松花一村,"[[121.5359542803658, 31.297059989926666]]",1.0
万佳苑,"[[121.53248675985614, 31.297126949848895]]",1.0
新杨和苑,"[[121.35188232011306, 31.29713783973957]]",1.0
四季沙龙,"[[121.4774118002145, 31.29718904983485]]",1.0
