name,point,type
桂景苑,"[[121.41966599978616, 30.795517710274154]]",1.0
护塘小区（南门）,"[[121.37554368009683, 30.796214534673048]]",1.0
中一东路小区（康发）,"[[121.4161434002978, 30.79669482030973]]",1.0
中一东路小区（山青）,"[[121.41467225961723, 30.79700369966107]]",1.0
中一东路小区（住盛）,"[[121.41237060042297, 30.797232120266166]]",1.0
金桂花苑,"[[121.40359722013565, 30.798008774785174]]",1.0
护塘小区（北口）,"[[121.37571306020962, 30.79815308989322]]",1.0
中一东路小区（康鑫）,"[[121.41406187985191, 30.798202680309522]]",1.0
海涯新苑,"[[121.38486768019933, 30.79839811468132]]",1.0
漕泾新苑,"[[121.39872966024564, 30.799130535146134]]",1.0
绿地漕泾新苑一期,"[[121.4005483799039, 30.799859084928855]]",1.0
绿地漕泾新苑二期,"[[121.40034858022284, 30.799879200065078]]",1.0
汇安小区,"[[121.40071776001659, 30.802077539746747]]",1.0
蒋庄小区（西区）,"[[121.3569219598807, 30.810381660085582]]",1.0
蒋庄小区,"[[121.36108554036552, 30.81131581467313]]",1.0
贵宾楼别墅区,"[[121.46033645975993, 30.817392840407315]]",1.0
棕榈滩别墅二期,"[[121.52370798003928, 30.818986379717693]]",1.0
棕榈滩·东海岸,"[[121.51566629986002, 30.81978769544586]]",1.0
阮巷小区,"[[121.37967648038531, 30.81990744017626]]",1.0
棕榈滩别墅,"[[121.51732931989227, 30.82030987510067]]",1.0
海湾世纪佳苑,"[[121.52196791958383, 30.821796000285268]]",1.0
三景苑,"[[121.52364102011697, 30.822318179940076]]",1.0
阳光海岸,"[[121.51279511979902, 30.823376490432736]]",1.0
棕榈滩海景城,"[[121.53129425972239, 30.82365764998056]]",1.0
奉贤金海湾花苑,"[[121.53162528038243, 30.824158319650813]]",1.0
旭辉·圆石滩,"[[121.50876077998612, 30.825313020379625]]",1.0
棕榈滩海景城二期,"[[121.54060043975858, 30.825459269929432]]",1.0
棕榈滩高尔夫别墅,"[[121.54218371960306, 30.826221480437027]]",1.0
绿地·香颂,"[[121.5100540797321, 30.826675260355024]]",1.0
金海湾休闲花苑,"[[121.52209301977715, 30.826799009766546]]",1.0
海悦,"[[121.52940443966328, 30.8268673195712]]",1.0
海湾艺墅,"[[121.52075111976842, 30.82708763998263]]",1.0
珊瑚湾,"[[121.53105846017992, 30.828330045295388]]",1.0
海畔家园（二期）,"[[121.46278806022087, 30.828750615048904]]",1.0
海湾新家园,"[[121.52171447983952, 30.829059855028305]]",1.0
冯桥新村,"[[121.47946650017889, 30.829368825211162]]",1.0
招商·海廷C区,"[[121.51154987982318, 30.830278994879777]]",1.0
康乐A区,"[[121.46901894017199, 30.83059710037594]]",1.0
招商·海廷,"[[121.51130004006487, 30.8307890246938]]",1.0
沪林新村,"[[121.46694119957685, 30.831090525107683]]",1.0
目华新村,"[[121.46553630026006, 30.831106364866876]]",1.0
圣地雅歌·海墅,"[[121.51465631983328, 30.83199349480403]]",1.0
海岸景苑,"[[121.47457734037201, 30.832581420296407]]",1.0
竹港新村,"[[121.47207839959859, 30.83270399968989]]",1.0
花苑新村,"[[121.42779047964703, 30.83278342511506]]",1.0
一号新村,"[[121.52109743969513, 30.833181494730283]]",1.0
华苑西区,"[[121.42188954027017, 30.83353231486447]]",1.0
花苑一区,"[[121.42422989998997, 30.83520167961384]]",1.0
海思公寓,"[[121.50935441977074, 30.835485674724204]]",1.0
华东理工大学奉贤校区－学生公寓5～8号,"[[121.49983439983775, 30.835582334756978]]",1.0
胡桥苑,"[[121.42439009982328, 30.835601549671793]]",1.0
华东理工大学奉贤校区－学生公寓1～4号,"[[121.50151110035716, 30.83560798522042]]",1.0
教工苑,"[[121.42707983986278, 30.835771290412723]]",1.0
华东理工大学奉贤校区－学生公寓9～12号,"[[121.50151055986453, 30.835797479570054]]",1.0
华东理工大学奉贤校区－学生公寓17～20号,"[[121.49975339969969, 30.836521170315784]]",1.0
华东理工大学奉贤校区－学生公寓13～16号,"[[121.5015195602796, 30.836726144695923]]",1.0
乐怡苑,"[[121.47112295985677, 30.837747150410742]]",1.0
上海师范大学奉贤校区－晨曦楼,"[[121.5129879002715, 30.840026445264307]]",1.0
上海师范大学奉贤校区－韵景楼,"[[121.51288746038806, 30.840255945055837]]",1.0
上海师范大学奉贤校区－恒馨楼,"[[121.51229526041801, 30.840434009921708]]",1.0
上海师范大学奉贤校区－凝华楼,"[[121.51273661979914, 30.840565185035324]]",1.0
海尚墅林苑,"[[121.5049692598235, 30.8405824646091]]",1.0
柘林·海韵馨苑,"[[121.48323300030276, 30.840589169954264]]",1.0
上海师范大学奉贤校区－沁馨楼,"[[121.51016729988099, 30.841177095446646]]",1.0
新院邨,"[[121.5180358200971, 30.84118078536497]]",1.0
上海师范大学奉贤校区－星辰楼,"[[121.51076921972376, 30.84141861018081]]",1.0
大树中心村,"[[121.41841265961656, 30.842580330118217]]",1.0
世茂爱马尚郡西区,"[[121.55913503995018, 30.859682984781983]]",1.0
世茂爱马尚郡东区,"[[121.55941530017606, 30.85975309502937]]",1.0
上海市星火开发区明城新村,"[[121.55699681994736, 30.861344115338646]]",1.0
海滨二村,"[[121.56466086041041, 30.861605925073427]]",1.0
海滨一村,"[[121.5645413396112, 30.86193622537654]]",1.0
世茂爱马尚郡叠墅,"[[121.56121025974575, 30.862245825084806]]",1.0
明城玫瑰园,"[[121.55418917968697, 30.863605680058143]]",1.0
海滨二村北区,"[[121.56348563985043, 30.864898799939716]]",1.0
世茂海滨馨苑,"[[121.56012485987443, 30.865428630127177]]",1.0
真火炭烤鱼枣阳路店,"[[121.56097572015346, 30.865648994605486]]",1.0
明城海湾新苑,"[[121.55698385981741, 30.865678200088936]]",1.0
诺华公寓,"[[121.72735871992903, 30.866190524972787]]",1.0
中港小区二三村,"[[121.72730796039414, 30.86659989007292]]",1.0
海城小区,"[[121.72697838044796, 30.86661042023473]]",1.0
中港一村,"[[121.73391791987612, 30.867898184653562]]",1.0
海城花苑,"[[121.7242792802647, 30.86823195004453]]",1.0
燎原小区一村北村,"[[121.63645566030047, 30.86915940018619]]",1.0
钱桥新苑,"[[121.53469661985318, 30.870937935437446]]",1.0
龙泉新村,"[[121.53825791986718, 30.871646909677203]]",1.0
洪卫港新村,"[[121.68782171959671, 30.874499189585997]]",1.0
洪卫新村,"[[121.68730170011341, 30.874879350101956]]",1.0
丰新村,"[[121.53900942034849, 30.87597586469441]]",1.0
文化新村,"[[121.53876875997037, 30.876145289773355]]",1.0
五四兴隆村,"[[121.72832676007201, 30.880208430374843]]",1.0
杨王苑,"[[121.49768915972695, 30.892970205011004]]",1.0
青村镇申隆二村,"[[121.56060239988099, 30.89304009042783]]",1.0
海港新苑,"[[121.73493366006036, 30.894788744804778]]",1.0
平安富邸二期,"[[121.7400236996341, 30.89644645523974]]",1.0
平安富邸,"[[121.73347385983087, 30.89688835511359]]",1.0
庄行新苑南区,"[[121.39187922024985, 30.897122265180464]]",1.0
五星花园别墅,"[[121.42688616006835, 30.898116720210517]]",1.0
杨王村,"[[121.49766863989588, 30.89816707505055]]",1.0
平苑小区,"[[121.7324539800671, 30.89868803972133]]",1.0
丽水湾,"[[121.38282360032898, 30.89886511533284]]",1.0
