name,point,type
荣城花苑,"[[121.51304567991426, 31.24391094013785]]",1.0
麦林大楼,"[[121.48055243964345, 31.24403235041266]]",1.0
虎丘小区,"[[121.48291440017951, 31.244189444886977]]",1.0
海昌小区,"[[121.45948578024465, 31.24477232967932]]",1.0
华德大楼,"[[121.48184232016692, 31.244847344829147]]",1.0
虎丘公寓,"[[121.48293869986114, 31.245090884836507]]",1.0
蒙古小区,"[[121.46634000009101, 31.245132779754087]]",1.0
南星小区,"[[121.46202953963169, 31.24514025042226]]",1.0
河滨大楼,"[[121.47910092037131, 31.245199920439987]]",1.0
大统小区,"[[121.4601820200842, 31.24542532471905]]",1.0
天禄里,"[[121.4719077604349, 31.245439409900875]]",1.0
永盛苑,"[[121.4582439603905, 31.245670079710436]]",1.0
华祺苑,"[[121.4651370597276, 31.245730200288556]]",1.0
福庆坊,"[[121.47183953966302, 31.245889904595487]]",1.0
厚馀里,"[[121.47181992005335, 31.245970005411515]]",1.0
海联公寓,"[[121.46538942028556, 31.246001370167193]]",1.0
联富假日公寓,"[[121.47596028004295, 31.246142265153452]]",1.0
万丰盛景大厦,"[[121.47889517976878, 31.246341119647035]]",1.0
七浦商厦,"[[121.47063605970644, 31.24636717480533]]",1.0
联富综合楼,"[[121.47630335971235, 31.24646378987203]]",1.0
顺和里总街,"[[121.47976026012796, 31.24655397028957]]",1.0
天晋小区,"[[121.46423669986379, 31.24659896966677]]",1.0
瑞泰里,"[[121.48164953969453, 31.246639559667997]]",1.0
华东大厦,"[[121.46455061991526, 31.24712065469457]]",1.0
红花小区,"[[121.4669028596793, 31.247377920154882]]",1.0
蕃瓜弄,"[[121.45715874038368, 31.247820314655826]]",1.0
万豪公寓,"[[121.47527574038315, 31.24804324489987]]",1.0
大桥大楼,"[[121.48084278037003, 31.248179639678625]]",1.0
山寿里,"[[121.48838928034108, 31.248321749649087]]",1.0
福康里,"[[121.4706855601905, 31.2484004996834]]",1.0
同仁里,"[[121.48508393997194, 31.248412334761476]]",1.0
乍浦里,"[[121.48322561956674, 31.248497069783937]]",1.0
圣和圣广场丽晶馆,"[[121.47641333960402, 31.248517319818475]]",1.0
东泰华小区,"[[121.47901632024707, 31.248665100014378]]",1.0
中南小区,"[[121.46677883957186, 31.24880977485129]]",1.0
泰华里西街,"[[121.4787459597583, 31.24885459526338]]",1.0
泰华里东街,"[[121.47900713996759, 31.24886539522182]]",1.0
新康里东区,"[[121.48743743968618, 31.24892997014208]]",1.0
九华新邨,"[[121.47973091974619, 31.248937574809283]]",1.0
天武小区,"[[121.48439309966192, 31.248941129829383]]",1.0
颐和里,"[[121.48344881960733, 31.248998459811126]]",1.0
西泰华小区,"[[121.47822431969666, 31.249033379586905]]",1.0
福寿里,"[[121.47405462022456, 31.24906128015401]]",1.0
同德里,"[[121.48216326032625, 31.24908486037809]]",1.0
南高寿里,"[[121.47129180037629, 31.24915343997929]]",1.0
广兴里南一,"[[121.47966179965236, 31.249187775195736]]",1.0
百福里,"[[121.49147826001376, 31.249252170251516]]",1.0
豪景苑,"[[121.48386210035571, 31.249270080250064]]",1.0
广兴里南二,"[[121.47929045968701, 31.24927682966203]]",1.0
祥新里,"[[121.47165431979113, 31.249294694694505]]",1.0
新康里,"[[121.48661591978899, 31.249428344742334]]",1.0
德兴里南街,"[[121.4785578602571, 31.24947500966404]]",1.0
德润坊,"[[121.47211727998851, 31.249486350115014]]",1.0
平安里,"[[121.48977149965502, 31.24956770998186]]",1.0
广兴里北二,"[[121.47953291960857, 31.24958800498247]]",1.0
广兴里北一,"[[121.48005636011294, 31.249799864572168]]",1.0
春晖里,"[[121.47306335958646, 31.24981961997952]]",1.0
浦西小区,"[[121.48295040004099, 31.249848374902584]]",1.0
阿姨奶茶下南路店,"[[121.47493230008573, 31.24985508024784]]",1.0
浦西公寓,"[[121.48279974021594, 31.249877985080985]]",1.0
成德里,"[[121.473304920186, 31.249900440253192]]",1.0
宁康里,"[[121.47018011961686, 31.249911375109946]]",1.0
公安大楼,"[[121.48601561962519, 31.249997504980918]]",1.0
耕山里,"[[121.47353640028473, 31.25000123986532]]",1.0
福荫里,"[[121.47482250005842, 31.25001501028452]]",1.0
华安坊,"[[121.46976882007505, 31.250050379721323]]",1.0
观景苑,"[[121.46336856001108, 31.250081835308528]]",1.0
庆长里,"[[121.47320556038835, 31.250140515172696]]",1.0
万祥里,"[[121.47407999999211, 31.25021314532046]]",1.0
凯成苑,"[[121.45832532025734, 31.250267504841517]]",1.0
明德里,"[[121.473447299953, 31.250271419590398]]",1.0
均益里,"[[121.47372899999344, 31.2503523747623]]",1.0
永寿里,"[[121.47442218033936, 31.250354400035583]]",1.0
河南北小区,"[[121.47787872012691, 31.250354400035583]]",1.0
同发里,"[[121.47400080029678, 31.250463344807542]]",1.0
江西北小区,"[[121.47828120001748, 31.250515859819167]]",1.0
敬盛里,"[[121.47506639979466, 31.25060662479595]]",1.0
志铨里,"[[121.47520733974707, 31.250657115433576]]",1.0
耕德里,"[[121.47772950011642, 31.250704544778912]]",1.0
宝业里,"[[121.4754085801419, 31.250717819671742]]",1.0
