name,point,type
华南名苑,"[[121.50036341973612, 31.191549434758635]]",1.0
泰莱大厦,"[[121.45623695956809, 31.191612524898147]]",1.0
新桥小区,"[[121.5019691997188, 31.19180404542034]]",1.0
天赋家园,"[[121.50073457983709, 31.19281987463753]]",1.0
金缘坊小区,"[[121.50073457983709, 31.19281987463753]]",1.0
临沂五村,"[[121.50495989967963, 31.192842419741893]]",1.0
港机新村,"[[121.50456839961207, 31.193041185202603]]",1.0
江南新村,"[[121.45931423996026, 31.19348785508049]]",1.0
华丰新苑,"[[121.50484938019487, 31.19392156482843]]",1.0
临沂三村,"[[121.50370511969564, 31.194138060423214]]",1.0
徐汇新湖云庭,"[[121.45648914026165, 31.194163305292342]]",1.0
枫林新村,"[[121.45478544029592, 31.19426019015576]]",1.0
华丰路51弄小区,"[[121.50309294038696, 31.194376110069427]]",1.0
西木小区,"[[121.45439447982145, 31.19442939040406]]",1.0
海珀·日晖,"[[121.4699259604148, 31.1946754503118]]",1.0
紫荆新苑,"[[121.47439482026479, 31.194872820024642]]",1.0
南园大厦,"[[121.46677001992055, 31.19519034006219]]",1.0
鲁班公寓,"[[121.47431508007693, 31.195582785317328]]",1.0
迪美逊,"[[121.46575860007941, 31.195928789582034]]",1.0
卢湾城市花园,"[[121.47416513970951, 31.196102624936238]]",1.0
日晖二村,"[[121.46152032010674, 31.19650168470502]]",1.0
紫汇苑,"[[121.46359482044465, 31.196555369734597]]",1.0
复旦大学护理学院－学生公寓,"[[121.45296150007324, 31.196616029905883]]",1.0
春江小区,"[[121.4661698996213, 31.19671962011447]]",1.0
丝庐花语,"[[121.46205150017673, 31.19687253004328]]",1.0
航道住宅小区,"[[121.45873427976325, 31.19713641001742]]",1.0
卢湾区中山学校学生公寓,"[[121.4692664398944, 31.19734475955309]]",1.0
龙华小区,"[[121.46858513959262, 31.19750370033558]]",1.0
茶陵小区,"[[121.463324459956, 31.19752466982768]]",1.0
环龙新苑,"[[121.46480765964591, 31.197557340398994]]",1.0
康衢小区,"[[121.46560938006894, 31.197638790198077]]",1.0
中辉新苑,"[[121.46960736029155, 31.197655395280364]]",1.0
汽车公寓,"[[121.45484573983916, 31.197739095183103]]",1.0
协合徐汇公寓,"[[121.45846374030938, 31.198065569770293]]",1.0
金星苑,"[[121.45278132000203, 31.198165155297758]]",1.0
建灵大楼,"[[121.45463532006411, 31.198198545326633]]",1.0
上海第二医科大学瑞金学生园区,"[[121.4542044000132, 31.19822774991072]]",1.0
中南公寓,"[[121.47087023957003, 31.19826757458894]]",1.0
日晖新城,"[[121.46063849976707, 31.198279499599252]]",1.0
银光大厦,"[[121.45713083981647, 31.198333049730515]]",1.0
茶陵路400弄小区,"[[121.4588546998846, 31.19842619970936]]",1.0
申龙大楼,"[[121.47179220024984, 31.19855913029963]]",1.0
茶陵路345弄小区,"[[121.45796262007892, 31.198604490305065]]",1.0
裕兴大厦,"[[121.46532893997866, 31.198687920411267]]",1.0
双晖小区,"[[121.46459723987087, 31.19869656019811]]",1.0
天合雅园,"[[121.46040809975412, 31.1986989002341]]",1.0
上海第二医科大学学生公寓一区,"[[121.4701792202949, 31.198706504901303]]",1.0
日晖三村,"[[121.45956623989017, 31.19870736015664]]",1.0
海光公寓,"[[121.45737132033028, 31.19877332992531]]",1.0
鲁班大楼,"[[121.473756360068, 31.1989223700714]]",1.0
银海苑,"[[121.45749173955218, 31.198953509996528]]",1.0
银河小区,"[[121.50434700001412, 31.198987484584826]]",1.0
南园新村,"[[121.46874642041101, 31.19913400483054]]",1.0
海晖公寓,"[[121.46398595988424, 31.1991353097468]]",1.0
轻工大木桥小区,"[[121.45748165995076, 31.19917342481373]]",1.0
东晓楼,"[[121.4674135199181, 31.199201550211384]]",1.0
日晖六村,"[[121.45574790014552, 31.19925024040637]]",1.0
东晖楼,"[[121.4678244597311, 31.199282279653538]]",1.0
晨晖楼,"[[121.46687226024662, 31.19938051529858]]",1.0
盛世滨江二期,"[[121.477413960386, 31.199458455043725]]",1.0
日晖六村（一）小区,"[[121.4562790802155, 31.199471100411053]]",1.0
日晖七村,"[[121.45519673983782, 31.19951911521501]]",1.0
银亿·徐汇酩悦,"[[121.45525686041584, 31.1995492200205]]",1.0
东晖花苑,"[[121.46795477958949, 31.199552415311736]]",1.0
申晖小区,"[[121.4638556400258, 31.199584905119288]]",1.0
瞿西新村,"[[121.46581997970836, 31.199608485343376]]",1.0
荣科大厦,"[[121.46883659992918, 31.199703975358204]]",1.0
嘉晖楼,"[[121.46778432029018, 31.19981201990884]]",1.0
日晖五村,"[[121.46219208040017, 31.199981759750493]]",1.0
名盛苑,"[[121.46457725963288, 31.200056055442666]]",1.0
复兴南苑,"[[121.46645141979727, 31.200059474665082]]",1.0
开源大厦,"[[121.46837562003881, 31.20008300992309]]",1.0
儿科高层,"[[121.45296185980203, 31.200084855331895]]",1.0
清真路住宅小区,"[[121.45227030003434, 31.20025351508766]]",1.0
江南造船大厦住宅楼,"[[121.47166295957797, 31.200288930389902]]",1.0
淞园大厦,"[[121.48883118021493, 31.2002908198655]]",1.0
金谷商厦,"[[121.50313254023453, 31.200373169885992]]",1.0
申信大楼,"[[121.45352309971133, 31.200475724974773]]",1.0
盛世滨江,"[[121.48156278029825, 31.20054542962793]]",1.0
远雄徐汇园,"[[121.45948613997352, 31.200546599645882]]",1.0
合丰大楼小区,"[[121.45769225959017, 31.20057333019512]]",1.0
斜土路1275弄,"[[121.45865435971098, 31.20063506955284]]",1.0
瞿中小区,"[[121.46843573971765, 31.20066292515395]]",1.0
望江苑,"[[121.48496963973716, 31.200771059636743]]",1.0
耀江花园,"[[121.48713539967903, 31.200775829640868]]",1.0
金田公寓,"[[121.50299196001109, 31.200782534986033]]",1.0
汽联大厦,"[[121.45243067973215, 31.200783615071835]]",1.0
清真小区,"[[121.45362335973037, 31.200795809878777]]",1.0
南康公寓,"[[121.48179354003994, 31.200835860286745]]",1.0
香港新世界花园,"[[121.47903810002833, 31.20087136462186]]",1.0
金色港湾公寓,"[[121.45700069982249, 31.201001910210067]]",1.0
嘉登公寓,"[[121.4820741599946, 31.201096365105258]]",1.0
五岭小区,"[[121.46924771960667, 31.20115423468026]]",1.0
海上梦苑,"[[121.47611256044635, 31.20117659992023]]",1.0
汇成桂苑,"[[121.45396410026305, 31.20119631036151]]",1.0
大木小区,"[[121.45731137961647, 31.20126237006233]]",1.0
丽都大厦,"[[121.4813428196155, 31.2012652047255]]",1.0
百乐公寓,"[[121.45487598044224, 31.20126795035562]]",1.0
汇景天地,"[[121.47354702037877, 31.201392015429214]]",1.0
大闻公寓,"[[121.4553571204348, 31.201458749621608]]",1.0
惠祥公寓,"[[121.48306649981923, 31.20155806535245]]",1.0
1212公寓,"[[121.46107968018318, 31.201569180073683]]",1.0
江南新苑,"[[121.4737977603584, 31.201632360145346]]",1.0
白玉兰家园,"[[121.48658351991358, 31.20164383459536]]",1.0
重矿大厦,"[[121.47828714003955, 31.201690274686506]]",1.0
瑞南新苑,"[[121.46394600030771, 31.201734329775505]]",1.0
瑞金南苑,"[[121.46347493991667, 31.201853444980586]]",1.0
斜土小区,"[[121.46676228035511, 31.201879455172808]]",1.0
欣安基公寓,"[[121.48975422008134, 31.202032634898245]]",1.0
福华花苑二期,"[[121.46101955960498, 31.20203888968311]]",1.0
恒益公寓,"[[121.45747176021364, 31.202052390305596]]",1.0
中南小区西区,"[[121.48007093992203, 31.202103239772725]]",1.0
徐汇嘉馨公寓,"[[121.45497642032558, 31.202357759603004]]",1.0
扬子江家园,"[[121.4665617603171, 31.202418870334675]]",1.0
瞿溪坊,"[[121.47483005975947, 31.20242400006758]]",1.0
祥和公寓,"[[121.45604868020247, 31.202459685166367]]",1.0
时运大楼,"[[121.4595964795939, 31.20246616478179]]",1.0
东泰花苑,"[[121.4669226600528, 31.20246953993741]]",1.0
金巢铂瑞阁,"[[121.46013774016465, 31.202487135173257]]",1.0
西三小区,"[[121.50260028007895, 31.20259045468576]]",1.0
东怡花苑,"[[121.47856829958747, 31.20263072992428]]",1.0
中南小区,"[[121.48398900009238, 31.202639730339364]]",1.0
云华小区,"[[121.4570408401627, 31.202661420188477]]",1.0
卢湾都市花园,"[[121.47185340001447, 31.202688464601053]]",1.0
