name,point,type
西郊半岛名苑,"[[121.22789022025759, 31.229669834695216]]",1.0
万博家园,"[[121.32382679976705, 31.22976721508492]]",1.0
馨逸公寓,"[[121.36286808029772, 31.229890379937196]]",1.0
西郊东苑,"[[121.32935514012766, 31.229967239596455]]",1.0
馨越公寓,"[[121.36278851997432, 31.2307304402577]]",1.0
梦里水乡花苑,"[[121.22230878032602, 31.231707210119673]]",1.0
万博欣园,"[[121.330761839887, 31.232243519922548]]",1.0
聚星小区,"[[121.33486313962229, 31.232655990381758]]",1.0
绿地·英伦墅,"[[121.21819596027535, 31.23283401028138]]",1.0
河滨香景园,"[[121.35668742028824, 31.233046949956787]]",1.0
珑寓,"[[121.2278295600862, 31.233267854927632]]",1.0
金华新村,"[[121.32172079977514, 31.233329189590492]]",1.0
绿地·逸湾苑,"[[121.21818587977467, 31.23335380493421]]",1.0
爱德佳苑五街坊,"[[121.31234964012393, 31.23354487489611]]",1.0
建德花园丁香苑,"[[121.3553300402492, 31.23402884955184]]",1.0
爱德佳苑,"[[121.31025353986897, 31.234387769879696]]",1.0
爱德佳苑三街坊,"[[121.30646057989193, 31.23453352480241]]",1.0
华庄中心村,"[[121.31107200027267, 31.234916340117053]]",1.0
侨进生活区,"[[121.27521402031084, 31.234986495330517]]",1.0
华腾公寓,"[[121.2657361201259, 31.23503603988138]]",1.0
丰华苑,"[[121.32465407982208, 31.235182829923723]]",1.0
纪丰苑,"[[121.27030146014428, 31.23520245043276]]",1.0
建德花园牡丹苑,"[[121.35667824000885, 31.23530685003115]]",1.0
泰宸沙河茗苑五期,"[[121.31977481975215, 31.235631794871516]]",1.0
建德花园玫瑰苑,"[[121.35653856000663, 31.235716979555]]",1.0
银杏新村,"[[121.27027158016942, 31.23602212492122]]",1.0
金江家园,"[[121.35974453967876, 31.236103439821903]]",1.0
金沙雅苑·未来街区,"[[121.36007430038879, 31.236403094827068]]",1.0
红卫村张介浜小区,"[[121.27552289966218, 31.23661495531595]]",1.0
建德花园郁金香苑,"[[121.35271481983315, 31.23734174962211]]",1.0
泰宸沙河茗苑,"[[121.31925588035466, 31.237441919708914]]",1.0
绿地新江桥城南区,"[[121.30764839995379, 31.23751054517556]]",1.0
万达城市公寓,"[[121.31933561964325, 31.23763168475446]]",1.0
绿地新江桥城,"[[121.30800768001052, 31.23773991006886]]",1.0
新大洲华庭苑,"[[121.22154738010758, 31.23777370479268]]",1.0
银杏新村北区,"[[121.27063049959791, 31.23784061974883]]",1.0
新长征花苑九街坊,"[[121.36184262024085, 31.238001045312068]]",1.0
象源丽都,"[[121.37155020008171, 31.238070480168595]]",1.0
纪高苑,"[[121.26239550025218, 31.238673659961464]]",1.0
万景园,"[[121.36739579987636, 31.238804969973486]]",1.0
建德花园紫荆苑,"[[121.35654989955833, 31.23920677537248]]",1.0
建德花园海棠苑,"[[121.35680946008856, 31.23922648491439]]",1.0
绿地新江桥城西区,"[[121.30639074034045, 31.239281789622936]]",1.0
金沙雅苑·舒诗康庭,"[[121.36382064041028, 31.239328815172705]]",1.0
新长征花苑二街坊,"[[121.37039225999487, 31.239631619603564]]",1.0
新长征花苑一街坊,"[[121.37060196031226, 31.239861390091093]]",1.0
泰宸复兴苑,"[[121.3126290001284, 31.240141920113594]]",1.0
泾阳家园,"[[121.36086468036083, 31.24019200515699]]",1.0
泾阳路129弄,"[[121.35954635967684, 31.240233450413463]]",1.0
