name,point,type
丁香公寓,"[[121.43457251990594, 31.216145759619124]]",1.0
祥顺里,"[[121.47445619989382, 31.216161194683465]]",1.0
亦园,"[[121.43975381998293, 31.216165200263866]]",1.0
恒昌里小区,"[[121.4727582600857, 31.21618630465428]]",1.0
光明公寓,"[[121.44811211997842, 31.21620047976834]]",1.0
万宜坊,"[[121.46633225962611, 31.216263704806167]]",1.0
长乐公寓,"[[121.43741867992819, 31.21632089988968]]",1.0
鸿宁里,"[[121.47463836027217, 31.216442175266266]]",1.0
潘东小区,"[[121.41969984037543, 31.216458464686475]]",1.0
东方巴黎霞飞苑,"[[121.45402530002768, 31.216481189655227]]",1.0
茂名坊,"[[121.45785354040865, 31.216508145034936]]",1.0
东湖双拥小区,"[[121.44878370040747, 31.21655156969924]]",1.0
永民四小区,"[[121.46884775961647, 31.216648184765944]]",1.0
信和别墅,"[[121.44263021970889, 31.21666028964065]]",1.0
东方雅苑,"[[121.43416158009292, 31.216694804721485]]",1.0
同仁坊,"[[121.47658883960337, 31.21669822484327]]",1.0
思南公馆·东苑,"[[121.46502941987191, 31.216731165211215]]",1.0
常熟小区,"[[121.44386286018293, 31.216772519636166]]",1.0
鸿凯湾绿苑,"[[121.4192487602222, 31.216797539674744]]",1.0
福兴坊,"[[121.47430841969792, 31.216801770085695]]",1.0
汇贤居,"[[121.4404554602513, 31.216836285166536]]",1.0
利安小区,"[[121.42237572006357, 31.216843260308245]]",1.0
中阳小区,"[[121.41577116011103, 31.21687115997615]]",1.0
华山小区,"[[121.4350736401365, 31.21687642460737]]",1.0
复兴坊,"[[121.46234345968298, 31.21691620521871]]",1.0
新海小区,"[[121.43051351978318, 31.217028029619918]]",1.0
常华小区,"[[121.44414348013758, 31.21708292963352]]",1.0
安阳小区,"[[121.41593153980872, 31.21709138955606]]",1.0
大德里,"[[121.44719016019782, 31.217178464614513]]",1.0
上海硅酸盐研究所青年公寓,"[[121.41759528019801, 31.2172243651124]]",1.0
福世花园,"[[121.42309733967058, 31.217244435282552]]",1.0
重庆公寓,"[[121.46752493962435, 31.217285564876946]]",1.0
永民第二小区,"[[121.4761897798345, 31.217318009718426]]",1.0
长峰大厦,"[[121.41704394002592, 31.217323320215094]]",1.0
茂名南路163弄小区,"[[121.45759307965693, 31.21738739960888]]",1.0
花园公寓,"[[121.46841683956555, 31.217397165346966]]",1.0
陕南邨小区,"[[121.45673123955507, 31.217425785371717]]",1.0
米丘林公寓,"[[121.46396705973214, 31.217429024729746]]",1.0
余兴坊小区,"[[121.47388937969114, 31.21744153519876]]",1.0
光明邨,"[[121.47334703993394, 31.217510069833885]]",1.0
华东化工大厦,"[[121.4281684799914, 31.217533605091802]]",1.0
松韵小区,"[[121.46735466018944, 31.217555160042693]]",1.0
振华里小区,"[[121.4707249801737, 31.217562539879346]]",1.0
香山丽舍,"[[121.46124113996667, 31.217573970262563]]",1.0
兆仪大厦,"[[121.41768545971627, 31.217594400161495]]",1.0
顺鑫里,"[[121.47468425987077, 31.217674230281517]]",1.0
伟成里小区,"[[121.4761312798347, 31.217708474666445]]",1.0
名光大厦,"[[121.41677339967268, 31.21771270507731]]",1.0
钟和公寓,"[[121.45721238044709, 31.21771657486012]]",1.0
南天大厦,"[[121.41839699972185, 31.217725665207347]]",1.0
梅兰坊,"[[121.47206202024614, 31.217746724631688]]",1.0
皇家公寓,"[[121.44196871978072, 31.217758694608072]]",1.0
华山公寓,"[[121.43515374005315, 31.217776244877847]]",1.0
枕流公寓,"[[121.43544443960923, 31.217826779582268]]",1.0
瑞金二路52弄,"[[121.46003856023141, 31.217851664722616]]",1.0
东方剑桥·御庭苑,"[[121.43363040002303, 31.21785346516534]]",1.0
华宵房屋三林分店,"[[121.44265037981118, 31.21790989492576]]",1.0
大福里,"[[121.4478817199655, 31.21791947990009]]",1.0
文盛里,"[[121.47549930015262, 31.21794701983913]]",1.0
永丰村,"[[121.46669316026129, 31.217973795354354]]",1.0
唐家湾,"[[121.47703686026296, 31.217991524589237]]",1.0
金都苑,"[[121.4186776196765, 31.21800610529752]]",1.0
茂名路159弄,"[[121.45739274038269, 31.218016815323807]]",1.0
公信绿地大楼,"[[121.42721646037137, 31.218101640278512]]",1.0
淮海坊,"[[121.45703183974763, 31.21810609462065]]",1.0
长原小区,"[[121.42595358019369, 31.21810933487796]]",1.0
原水小区,"[[121.42619423967244, 31.2181497450148]]",1.0
嘉丽苑,"[[121.45080833963326, 31.218204689994472]]",1.0
北方公寓,"[[121.4765155799302, 31.21826044526341]]",1.0
瑞金二路48弄小区,"[[121.45992821971167, 31.218271335154085]]",1.0
斐邨小区,"[[121.46890949987356, 31.218278400228037]]",1.0
南昌大楼,"[[121.45728257972733, 31.218376455109407]]",1.0
中包公寓,"[[121.4239192201959, 31.218465509575694]]",1.0
长乐大厦,"[[121.41864755983708, 31.218475859873116]]",1.0
新中小区,"[[121.42438020008625, 31.218526304645295]]",1.0
建宁大厦,"[[121.4190584996501, 31.21853660997664]]",1.0
华敏世纪广场,"[[121.43084435967954, 31.218538139723456]]",1.0
福世小区,"[[121.42210517971034, 31.218542145303772]]",1.0
建宁小区,"[[121.41843714006197, 31.218565454831946]]",1.0
永福第三小区,"[[121.4477315997336, 31.218568964885883]]",1.0
鸿泉里,"[[121.46862960027593, 31.218598080437097]]",1.0
忆定村,"[[121.42765746002391, 31.218602264982607]]",1.0
庆阳里,"[[121.46889114021408, 31.21862885973416]]",1.0
老西门新苑,"[[121.47833592016661, 31.21864632007169]]",1.0
志成坊,"[[121.47698969981488, 31.2186824548315]]",1.0
瑞华坊,"[[121.47228756032271, 31.218688845413872]]",1.0
政宁小区,"[[121.4332396203123, 31.218702435069318]]",1.0
巴黎公寓,"[[121.46686361956048, 31.218703874883985]]",1.0
南华新邨,"[[121.44548664009639, 31.21870482007138]]",1.0
金柏苑,"[[121.43356037970788, 31.218733035401364]]",1.0
仲信苑,"[[121.42224558006959, 31.21875234024833]]",1.0
沪江别墅,"[[121.44637854003767, 31.218756434861604]]",1.0
慈寿里,"[[121.46889167980726, 31.21876908022893]]",1.0
福安大厦,"[[121.41807642019066, 31.218804720361646]]",1.0
宝成大楼,"[[121.43960369975103, 31.21883401487797]]",1.0
新民邨小区,"[[121.47024852025311, 31.218863175395256]]",1.0
永嘉三小区,"[[121.45687163991431, 31.218875550066592]]",1.0
富都花园,"[[121.41973997981636, 31.21887771023819]]",1.0
福安小区,"[[121.42143378004496, 31.218920820139793]]",1.0
五金新邨,"[[121.45977810037914, 31.218920865105865]]",1.0
长乐新村,"[[121.44634848019825, 31.218996284950634]]",1.0
申亚瑞庭,"[[121.43109491979477, 31.21903840469868]]",1.0
南普庆里,"[[121.47020928013423, 31.219073415305893]]",1.0
月村,"[[121.42698587959477, 31.219110899948127]]",1.0
平济里,"[[121.47583625993545, 31.219119810430968]]",1.0
中山大楼,"[[121.41687365969173, 31.219252380393087]]",1.0
人民坊,"[[121.45837499970652, 31.219258184617566]]",1.0
普庆里,"[[121.47017004001543, 31.219273574715743]]",1.0
光明邨,"[[121.45855535964222, 31.219308495390806]]",1.0
丰裕里,"[[121.46860295965892, 31.219329150120288]]",1.0
兆丰花园,"[[121.41454860013786, 31.219348095238473]]",1.0
南辉小区,"[[121.42474109982194, 31.219406685170398]]",1.0
南昌路272弄,"[[121.45887611993709, 31.21940902520639]]",1.0
东湖公寓,"[[121.44940523986, 31.2194417398445]]",1.0
虹康御华园,"[[121.4278279202224, 31.219442325303113]]",1.0
孙顺里,"[[121.46011884001254, 31.219511264633176]]",1.0
余庆里,"[[121.45692185985604, 31.219515405111892]]",1.0
香樟公寓,"[[121.42679561992205, 31.21955036985375]]",1.0
善庆坊,"[[121.46047955988385, 31.21958191537319]]",1.0
宣化小区,"[[121.4242599598293, 31.21960572042765]]",1.0
南昌花苑,"[[121.46070006015975, 31.219622279644582]]",1.0
永庆里,"[[121.45721238044709, 31.219695899945904]]",1.0
翠湖天地－嘉苑,"[[121.47141797975596, 31.219717904557726]]",1.0
金龙大厦,"[[121.42735685983135, 31.219771319790674]]",1.0
锡荣别墅,"[[121.46119109988943, 31.21978310990267]]",1.0
西成里,"[[121.47006204043086, 31.219794089725504]]",1.0
金凤大厦,"[[121.42786787979892, 31.21984224032714]]",1.0
南三小区,"[[121.46063003984452, 31.21987207533609]]",1.0
美丽园,"[[121.434522659693, 31.219904385279257]]",1.0
源成里,"[[121.47596063977174, 31.219941465226462]]",1.0
翠湖天地御苑,"[[121.47358949985559, 31.219964594890243]]",1.0
金桥花园,"[[121.43009286009752, 31.2199862397732]]",1.0
王子·晶品,"[[121.43242800015216, 31.220010495388138]]",1.0
北汪小区,"[[121.42866978008635, 31.220033625051833]]",1.0
良友小区,"[[121.43063411976891, 31.220077229580532]]",1.0
裕华新村,"[[121.44705011956744, 31.220087175183004]]",1.0
愚园公馆,"[[121.42306745969555, 31.22010337467107]]",1.0
富丽华大楼,"[[121.4587258198408, 31.220148509845863]]",1.0
三瑞里,"[[121.47685631956358, 31.22024454035332]]",1.0
东浜小区,"[[121.42843920020903, 31.220263124843356]]",1.0
平安公寓,"[[121.42974203996323, 31.220315504956673]]",1.0
国泰小区,"[[121.45780386006018, 31.220326754576128]]",1.0
生源里小区,"[[121.47746975972163, 31.220356499652752]]",1.0
御华名苑,"[[121.42166435992237, 31.220410725174872]]",1.0
翠湖天地雅苑,"[[121.47467688003402, 31.220468549783796]]",1.0
美丽园居民区,"[[121.43437235959672, 31.22047390524662]]",1.0
逸乐轩,"[[121.44965579997532, 31.220481824676533]]",1.0
御华山,"[[121.44117725972288, 31.2204963145533]]",1.0
四维新邨,"[[121.44203909982474, 31.220557874945996]]",1.0
景安里小区,"[[121.47505919982221, 31.220559810287035]]",1.0
延陵邨,"[[121.41791603959359, 31.22062379974868]]",1.0
宏业花园,"[[121.42397951973913, 31.22071483542137]]",1.0
永嘉四小区,"[[121.46296517989927, 31.220716050405393]]",1.0
荣轩大厦,"[[121.43169647990877, 31.220758934577248]]",1.0
富民新邨,"[[121.446609119915, 31.2208461454333]]",1.0
岐山村,"[[121.42509191995623, 31.220846819924873]]",1.0
履安邨,"[[121.44862368043854, 31.220869814690253]]",1.0
沪西别墅,"[[121.42176461994134, 31.220870759877734]]",1.0
亨昌里,"[[121.41843731992645, 31.220874674626614]]",1.0
古柏小区,"[[121.4468296201909, 31.220936504815853]]",1.0
华府天地公寓,"[[121.4697356998428, 31.220944919772315]]",1.0
桃源坊,"[[121.42006091997553, 31.22095761010572]]",1.0
瑞金公寓,"[[121.45922694007126, 31.220979120090362]]",1.0
景华新邨,"[[121.44512592022508, 31.22115331517343]]",1.0
上海别墅,"[[121.46397930040453, 31.221158534838573]]",1.0
渔光邨,"[[121.43188692034516, 31.221359054876572]]",1.0
西园公寓,"[[121.41812664013239, 31.221373905381483]]",1.0
协和城,"[[121.4325484202734, 31.22155021477071]]",1.0
蒲园,"[[121.4510790598508, 31.221714014590106]]",1.0
光华里,"[[121.44584753983219, 31.221724454819764]]",1.0
襄乐大厦,"[[121.45039757968462, 31.221812699896255]]",1.0
海信花苑,"[[121.42127358021165, 31.221829529809007]]",1.0
南京西路2028弄,"[[121.43611619990284, 31.221836639849116]]",1.0
畅园,"[[121.42758743970867, 31.22186103036237]]",1.0
锦麟天地雅苑,"[[121.46857452039785, 31.221913094813523]]",1.0
兆丰别墅小区,"[[121.41802638011333, 31.221933569678527]]",1.0
乐安坊,"[[121.46264675964031, 31.221985994757915]]",1.0
锦园,"[[121.42928123993735, 31.221994094951583]]",1.0
华怡小区,"[[121.43828105962322, 31.222060515280553]]",1.0
元昌里,"[[121.46522940031664, 31.222073610308904]]",1.0
黄浦众鑫城,"[[121.47817086039703, 31.222081214976114]]",1.0
安定坊,"[[121.42588373974286, 31.222187819712175]]",1.0
大华里,"[[121.47645330007984, 31.22220640510158]]",1.0
桃源坊,"[[121.46322059995077, 31.222218015349185]]",1.0
南京西路1984弄,"[[121.43656728005598, 31.222237320196243]]",1.0
长乐邨,"[[121.45452677998694, 31.222250099562515]]",1.0
泰山公寓,"[[121.46219586025083, 31.22227511960118]]",1.0
荣业里,"[[121.46269878002475, 31.222366739833205]]",1.0
兴安里,"[[121.47692633987882, 31.22238806995354]]",1.0
渔阳里,"[[121.46368356014833, 31.222409624904344]]",1.0
迅发公寓,"[[121.41906876001528, 31.22246529024104]]",1.0
美丽园居民区,"[[121.43738897981771, 31.222518704574618]]",1.0
愚园新村,"[[121.43017313987855, 31.222575494963188]]",1.0
裕福里,"[[121.47690743972655, 31.222618380034234]]",1.0
兴安小区,"[[121.42097298001909, 31.222678679577463]]",1.0
云寿坊,"[[121.4306742601091, 31.222766385060694]]",1.0
南京西路1915弄,"[[121.4377097401125, 31.22278919996168]]",1.0
永嘉四小区东区,"[[121.46633819964828, 31.222848059690243]]",1.0
长一小区,"[[121.45739310011156, 31.22285512476428]]",1.0
永业大楼,"[[121.46539391959378, 31.222895355036634]]",1.0
协和城二期,"[[121.43601611974819, 31.222906065062922]]",1.0
三德坊,"[[121.46796665963373, 31.223002994892333]]",1.0
淮中社区,"[[121.46337485976201, 31.223009700237498]]",1.0
金苑别墅,"[[121.43161637999194, 31.22307796507608]]",1.0
恒安坊,"[[121.47802487974448, 31.223102354689964]]",1.0
和合坊,"[[121.46453082044101, 31.223113199614566]]",1.0
培文小区,"[[121.46657075983273, 31.223159190044612]]",1.0
美仁里,"[[121.4632953003379, 31.22317970987578]]",1.0
邻栖别墅,"[[121.45103910027434, 31.223203424998175]]",1.0
中实新村,"[[121.43338019963659, 31.223231144801517]]",1.0
愚园书香公寓,"[[121.42689605980539, 31.223239289961356]]",1.0
经纬公寓,"[[121.47211745985291, 31.223255445382534]]",1.0
大兴里,"[[121.45032756026876, 31.223272095430893]]",1.0
祥茂新邨,"[[121.46816898011446, 31.223284020441298]]",1.0
康绥公寓,"[[121.46509458025069, 31.22334522020575]]",1.0
淮海巷,"[[121.46345693998578, 31.2233604754057]]",1.0
上海四方新城,"[[121.45083858023634, 31.223382974644615]]",1.0
明月坊,"[[121.4782675204298, 31.223433600180556]]",1.0
高福里,"[[121.45973957971782, 31.22344979966853]]",1.0
新乐里南衖,"[[121.47737327955325, 31.223451014652646]]",1.0
中和邨,"[[121.46024231962735, 31.223501370392043]]",1.0
兰馨公寓,"[[121.4563507202097, 31.223513024706357]]",1.0
富民公寓,"[[121.44559715958133, 31.223523375003865]]",1.0
永华坊,"[[121.47848892002764, 31.223524365157424]]",1.0
四明居民区,"[[121.43335031966164, 31.223551004875056]]",1.0
兴联大厦2号楼,"[[121.4211333597168, 31.22357867971241]]",1.0
庆福里,"[[121.46104655995093, 31.22359384498003]]",1.0
巴卡拉济南路8号西楼,"[[121.47325470024427, 31.223639339883697]]",1.0
正元里,"[[121.46307641974104, 31.223639790443997]]",1.0
向明中学学生公寓,"[[121.46152913975797, 31.223675339745192]]",1.0
四明体育弄,"[[121.43431241978237, 31.22371269038839]]",1.0
庆成里,"[[121.46327766013597, 31.22372051988615]]",1.0
盛业公寓,"[[121.41952991977011, 31.22372569458522]]",1.0
愚园坊,"[[121.43499389994862, 31.22373392967721]]",1.0
如意坊,"[[121.47669180028637, 31.223829645421873]]",1.0
兴联大厦1号楼,"[[121.42142406017233, 31.22387910004049]]",1.0
渔阳里,"[[121.46598162025569, 31.22397877460083]]",1.0
兴联大厦,"[[121.42143413977374, 31.224009060169998]]",1.0
长新小区,"[[121.4215543800307, 31.22413924513014]]",1.0
石林别墅,"[[121.42859975977112, 31.224162104997205]]",1.0
金阳小区,"[[121.41896867986081, 31.224164489999268]]",1.0
巨籁村,"[[121.45379525974353, 31.22428806044568]]",1.0
萝邨,"[[121.47155981992978, 31.22434552532573]]",1.0
四成里,"[[121.45459698016656, 31.224499470374354]]",1.0
慎余里,"[[121.47771978024379, 31.224503654919772]]",1.0
涌泉坊,"[[121.43649725974083, 31.224516390219257]]",1.0
采寿里,"[[121.45476744036513, 31.224539744713503]]",1.0
尚贤坊一衖,"[[121.46783328028172, 31.224575070083425]]",1.0
银河里,"[[121.47827291995932, 31.224615435254186]]",1.0
小浜湾,"[[121.45791635985225, 31.224616334576226]]",1.0
尚贤坊,"[[121.46824548004501, 31.22465638498428]]",1.0
同福里,"[[121.45984595962341, 31.22472208495632]]",1.0
同康里,"[[121.47765048028558, 31.22472379456753]]",1.0
尚贤坊二衖,"[[121.46777352033175, 31.22472514534924]]",1.0
明德里,"[[121.45456692032714, 31.22472932989475]]",1.0
晋福里,"[[121.46046893978989, 31.22473392003448]]",1.0
特秀坊,"[[121.46002686005156, 31.224742649753566]]",1.0
厚德里,"[[121.4608508998492, 31.2247450797217]]",1.0
愚谷邨,"[[121.43705849965013, 31.224747329825448]]",1.0
福海里,"[[121.46102171977657, 31.224755564917437]]",1.0
紫勋雍邸,"[[121.46109209982058, 31.224755789747988]]",1.0
四明邨,"[[121.44841343962855, 31.22478805472499]]",1.0
花园村雅苑,"[[121.4226468000098, 31.224851009966187]]",1.0
凯德·茂名公馆,"[[121.45701312035928, 31.224854070359108]]",1.0
尚贤坊三衖,"[[121.4677542595515, 31.224895334851816]]",1.0
模范邨,"[[121.44913506013492, 31.224989340086083]]",1.0
文元坊,"[[121.47664697987436, 31.2249913203932]]",1.0
大德邨,"[[121.45730543959439, 31.225045230253244]]",1.0
镇宁路465弄小区,"[[121.4310151796069, 31.225076190313978]]",1.0
