name,point,type
金山区石化街道十五村,"[[121.33690740025631, 30.709435815410608]]",1.0
石化十一村,"[[121.3380961196402, 30.710674305075123]]",1.0
石化十三村小区,"[[121.34341097983295, 30.71171974536999]]",1.0
十二村小区,"[[121.34157245980128, 30.71254076974079]]",1.0
石化八村,"[[121.33840517975531, 30.713042970057053]]",1.0
鸿芸小区,"[[121.3457684401615, 30.713217255072365]]",1.0
石化街道九村小区,"[[121.3428907795859, 30.71432893493244]]",1.0
石化一村,"[[121.33302966029063, 30.714566400019415]]",1.0
广霖大楼,"[[121.34196143996846, 30.714809445399588]]",1.0
广宇大楼,"[[121.33498770022217, 30.714824789632317]]",1.0
石化二村,"[[121.33421837967455, 30.714995294797063]]",1.0
十村小区,"[[121.34621736014314, 30.715385894643397]]",1.0
石化六村,"[[121.34225069971014, 30.71632851005277]]",1.0
七村小区,"[[121.34236067960173, 30.716348400358434]]",1.0
石化四村小区,"[[121.33736783965412, 30.717114299885083]]",1.0
石化三村小区,"[[121.33263672040832, 30.717181710367697]]",1.0
石化临潮三村,"[[121.34564729968315, 30.71802509997847]]",1.0
广安小区,"[[121.3386427797406, 30.719847555420408]]",1.0
梅州新村,"[[121.33507986004763, 30.720083534827353]]",1.0
临潮一村,"[[121.34294622009205, 30.720401955086224]]",1.0
临潮二村,"[[121.34549232041435, 30.720798539920708]]",1.0
海棠新村,"[[121.34283768001504, 30.72089308474814]]",1.0
海浒新村,"[[121.35079116008397, 30.721868684592167]]",1.0
华府海景,"[[121.35385529958255, 30.722093415278934]]",1.0
华府海景4号楼,"[[121.35420467990207, 30.722862600029053]]",1.0
华府海景3号楼,"[[121.35420467990207, 30.722862600029053]]",1.0
华府海景1号楼,"[[121.35464388001115, 30.723281729967894]]",1.0
华府海景2号楼,"[[121.35464388001115, 30.723281729967894]]",1.0
海上明珠园,"[[121.35406482003545, 30.72385255485161]]",1.0
东礁一村,"[[121.3339073401517, 30.7242582749994]]",1.0
东礁四村,"[[121.33785870041876, 30.724340849850357]]",1.0
东礁三村小区,"[[121.33501488043251, 30.72450604541772]]",1.0
辰凯紫藤苑,"[[121.33704041987953, 30.724642170399846]]",1.0
蒙山大楼,"[[121.33896623980021, 30.725838089756103]]",1.0
东礁二村,"[[121.33740941980898, 30.725890784632035]]",1.0
东泉一村,"[[121.34099213987548, 30.72594455959385]]",1.0
桥英馨苑,"[[121.33085399971245, 30.72611294955307]]",1.0
辰凯花苑,"[[121.33551347986324, 30.726913769754688]]",1.0
东门苑,"[[121.32833939994342, 30.726917189876474]]",1.0
老西门花苑,"[[121.30244370041649, 30.727533104968913]]",1.0
东泉新村,"[[121.34154131987614, 30.727983060070272]]",1.0
振阳新村,"[[121.33329822033667, 30.728197214729697]]",1.0
临江北村小区,"[[121.30851240022716, 30.728623184912117]]",1.0
玲桂花苑,"[[121.34555334031451, 30.72883594472313]]",1.0
飞虹南村,"[[121.31096724004615, 30.728968559651413]]",1.0
园中苑,"[[121.32954647988618, 30.729153689591143]]",1.0
飞虹北村,"[[121.31228447974506, 30.72931600462998]]",1.0
金浦苑,"[[121.32913733961661, 30.729324329654204]]",1.0
合生·财富海景公馆,"[[121.3479185402085, 30.729401684839928]]",1.0
山鑫阳光城,"[[121.33958561998043, 30.729456045260356]]",1.0
金房花苑,"[[121.31463942017324, 30.72974148018521]]",1.0
东岭豪苑,"[[121.3371707397379, 30.729920084644256]]",1.0
山龙新村,"[[121.33320894014062, 30.73015687523965]]",1.0
山鑫公寓,"[[121.33489535963312, 30.730163985279766]]",1.0
锦华大楼,"[[121.31890992015683, 30.730503015301956]]",1.0
滨海一村,"[[121.31935884013846, 30.73061209497223]]",1.0
滨海二村,"[[121.32112481995453, 30.73108846496075]]",1.0
滨海三四村,"[[121.32085553955159, 30.731228910285985]]",1.0
韶盛·杭州湾家园,"[[121.35065346038894, 30.73130649030235]]",1.0
金海岸花园,"[[121.35117239978653, 30.731415569972626]]",1.0
滨海四村,"[[121.32199295980735, 30.731516595314673]]",1.0
城西花苑,"[[121.31098704041958, 30.731697180080836]]",1.0
欧洲城小区,"[[121.33082411973734, 30.73187056487474]]",1.0
山鑫康城,"[[121.35477510009085, 30.731879249627653]]",1.0
松卫新村,"[[121.32619344037506, 30.732528195020187]]",1.0
新山龙,"[[121.33502568039096, 30.732653070382952]]",1.0
棕榈湾,"[[121.33869822024683, 30.732676739639906]]",1.0
书香门第,"[[121.33821905966192, 30.733237305057635]]",1.0
金天地,"[[121.34599325988106, 30.7332440104028]]",1.0
万寿新村,"[[121.3226911799541, 30.733314344581373]]",1.0
卫龙新村,"[[121.3316523000137, 30.733328429763283]]",1.0
辰凯紫薇苑,"[[121.33411740019794, 30.733744004682116]]",1.0
蓝堡公馆,"[[121.34880774038491, 30.733789004958687]]",1.0
御景龙庭,"[[121.31837081975758, 30.73393223998093]]",1.0
海滨新城,"[[121.35582342001487, 30.734126864962924]]",1.0
韶盛杭州湾家园,"[[121.34993526000427, 30.73440676456056]]",1.0
金山豪庭,"[[121.34996531984369, 30.734796510050927]]",1.0
金天地花园,"[[121.34437650007547, 30.73620528004963]]",1.0
金瀚园,"[[121.34370780017495, 30.736246409644117]]",1.0
三岛龙州苑,"[[121.33774979971352, 30.736446435055015]]",1.0
金威园,"[[121.34746008021861, 30.737139570434863]]",1.0
宝华海湾城,"[[121.34710080016188, 30.737420054591922]]",1.0
卫康花苑,"[[121.30932042040114, 30.737707289959502]]",1.0
山鑫联城花苑,"[[121.35061367977752, 30.7377638995844]]",1.0
华江小区,"[[121.35523428043783, 30.738125835339098]]",1.0
金康花苑,"[[121.30929035966244, 30.73815711016254]]",1.0
金山世纪城,"[[121.33358801967142, 30.738472470028498]]",1.0
金旭花园,"[[121.32724139967094, 30.73907339971762]]",1.0
现代御墅,"[[121.35808853975438, 30.739140449572083]]",1.0
金荷雅苑,"[[121.35121236026227, 30.739761810059505]]",1.0
蓝色收获,"[[121.35492467983019, 30.74162453984068]]",1.0
山康花苑,"[[121.30687458009787, 30.741658964989277]]",1.0
清风别墅,"[[121.32883800027352, 30.744588150422864]]",1.0
蓝色收获北区,"[[121.35277872026174, 30.745216350254395]]",1.0
梦想家园,"[[121.29828930021114, 30.745779389707145]]",1.0
君逸国际公馆,"[[121.32656280003322, 30.746621249571014]]",1.0
龙泽园西区,"[[121.33471572005453, 30.746756789993896]]",1.0
水韵紫城,"[[121.32542502004867, 30.74689313980658]]",1.0
绿地·金卫新家园,"[[121.31169408021766, 30.74711764476352]]",1.0
绿地·金卫新家园西区,"[[121.30673454036686, 30.747636270297683]]",1.0
龙泽园东区,"[[121.3376993999075, 30.747791069702174]]",1.0
涌金商业广场,"[[121.3329194996353, 30.748229279657608]]",1.0
海趣馨苑,"[[121.32904751982721, 30.748326074588704]]",1.0
水韵悦城,"[[121.3235290801031, 30.748685670307502]]",1.0
绿地芳满庭,"[[121.31151425987522, 30.74940656955758]]",1.0
金卫新家园,"[[121.31007732041216, 30.750258914617262]]",1.0
晶珑俪榭,"[[121.34001455972415, 30.751675245216468]]",1.0
金悦华庭,"[[121.32526535980853, 30.75211107016984]]",1.0
赞成·红树林家园,"[[121.32567450007821, 30.75216034492407]]",1.0
万盛金邸,"[[121.33290942003379, 30.752727300024894]]",1.0
海上纳缇,"[[121.32256103996012, 30.75306542982576]]",1.0
龙湾1号,"[[121.34162123992841, 30.753481590203208]]",1.0
金域蔚蓝,"[[121.34094264029068, 30.753632744655455]]",1.0
海尚馨苑,"[[121.34397636022098, 30.75717577494212]]",1.0
御龙名邸,"[[121.35093174030762, 30.758842754689425]]",1.0
海辰馨苑,"[[121.34812752016903, 30.759167564631483]]",1.0
碧海云居,"[[121.34844701961433, 30.76000663479843]]",1.0
