name,point,type
天和·尚海格调,"[[121.55008878017318, 30.977888535427617]]",1.0
天和·尚海格调,"[[121.54887611993705, 30.980085255430232]]",1.0
绿色家园,"[[121.55237514010071, 30.980932200061012]]",1.0
泰南花苑,"[[121.55902199966559, 30.98161561466894]]",1.0
泰南一村,"[[121.55912225968463, 30.982085639940443]]",1.0
泰馨苑,"[[121.54872599970525, 30.982743899611307]]",1.0
汇南新村,"[[121.49914535997054, 30.98415051033787]]",1.0
申亚花满庭,"[[121.54836492010507, 30.98456198974406]]",1.0
巨龙台湾城,"[[121.42977191993816, 30.98598736482505]]",1.0
洪宝小洋房一期,"[[121.4184904203967, 30.986117369920713]]",1.0
澳洲国际,"[[121.4225031602927, 30.986699580221483]]",1.0
水岸家苑二期,"[[121.4225031602927, 30.986699580221483]]",1.0
果园小区,"[[121.43014325990362, 30.986788140060682]]",1.0
水岸家苑,"[[121.42627578030304, 30.98778124520831]]",1.0
鸿吉苑,"[[121.42553507978016, 30.98808049461916]]",1.0
浦江花园,"[[121.42897146036469, 30.989535120149768]]",1.0
金都雅苑,"[[121.44001122034163, 30.989730059894377]]",1.0
鸿宝二村小别墅,"[[121.42810944039846, 30.99005311525915]]",1.0
鸿宝二村鸿吉苑,"[[121.4246138403565, 30.990078270196037]]",1.0
金汇中街小区,"[[121.49757953956423, 30.990082770403625]]",1.0
鸿宝二村南区,"[[121.42526417969816, 30.99034844992112]]",1.0
大同小区,"[[121.43910923989958, 30.990447899650903]]",1.0
鸿宝二村北区,"[[121.42514394034058, 30.990608190315733]]",1.0
金汇东街小区,"[[121.50096119999947, 30.990632175234765]]",1.0
浦江花园,"[[121.42884239955724, 30.991974524904407]]",1.0
鸿宝一村,"[[121.42649646044333, 30.99259912474985]]",1.0
祥和花园,"[[121.43145996000919, 30.993080264742495]]",1.0
鸿宝一村南区,"[[121.42266119995449, 30.993594120272448]]",1.0
水闸小区,"[[121.42723895961038, 30.99366067460054]]",1.0
紫菊新苑,"[[121.43455884031826, 30.99388720483067]]",1.0
闸园新村别墅区,"[[121.43218247983759, 30.994191764738183]]",1.0
鸿宝一村北区,"[[121.42508381976255, 30.99474566977691]]",1.0
锦港新村,"[[121.42806174035711, 30.994792379664688]]",1.0
祥云新城,"[[121.3636971598961, 30.99489642043349]]",1.0
文怡花园,"[[121.4358019201226, 30.99490933469808]]",1.0
碧瑶别墅,"[[121.42949543956296, 30.99510526459634]]",1.0
盛源花苑,"[[121.33122462022015, 30.995443169566656]]",1.0
雅儒园,"[[121.36940549956418, 30.995755964566158]]",1.0
新南家园,"[[121.44047364004658, 30.996178469660713]]",1.0
西渡大桥公寓,"[[121.43971152037048, 30.996406574603824]]",1.0
扶栏新村,"[[121.44163626020529, 30.997140165086584]]",1.0
希都公寓,"[[121.42681703997452, 30.99780688467999]]",1.0
闸园新村,"[[121.42924325976867, 30.998331809965094]]",1.0
昆阳住宅小区,"[[121.36996421957319, 30.99894335974826]]",1.0
闵联昆阳住宅三区,"[[121.36673105969071, 30.99983858987909]]",1.0
昆阳小区,"[[121.36895639971816, 31.0012339950529]]",1.0
浦江大楼,"[[121.42301129973185, 31.00132030478826]]",1.0
浦江花苑,"[[121.42223045976804, 31.001739254862798]]",1.0
兰坪一邨,"[[121.41577547955477, 31.00177516479205]]",1.0
帝景园,"[[121.41605555991626, 31.002225029961167]]",1.0
华江小区,"[[121.41799668000287, 31.002425819795796]]",1.0
申和苑,"[[121.2402500995626, 31.002703245358497]]",1.0
天星苑,"[[121.36733981977696, 31.002955964746043]]",1.0
友好佳苑,"[[121.3971528600165, 31.003092675186878]]",1.0
紫罗兰花苑,"[[121.41552510020321, 31.003433910346743]]",1.0
电机一村,"[[121.40373023975887, 31.003899885071682]]",1.0
茸南苑,"[[121.24414043992942, 31.004293365446543]]",1.0
瑞丽新村,"[[121.40678952022027, 31.004319015010616]]",1.0
华明小区,"[[121.28071806009044, 31.004356454686686]]",1.0
闵行花园,"[[121.40762994026956, 31.004669159753945]]",1.0
兰坪二村,"[[121.4109219598806, 31.00468081496772]]",1.0
华阳中心苑,"[[121.25951549964068, 31.004740080290503]]",1.0
北街小区,"[[121.42230101967645, 31.004798264628292]]",1.0
南良苑,"[[121.23853991998136, 31.004841780124124]]",1.0
环城新村,"[[121.2495211799586, 31.004974260154]]",1.0
香樟苑,"[[121.39440408038415, 31.005082710298865]]",1.0
红宾院小区,"[[121.23782981979036, 31.005201419909632]]",1.0
电机四村,"[[121.39964190015361, 31.005400635031364]]",1.0
高华小区,"[[121.41919709956653, 31.00561442996201]]",1.0
河东小区,"[[121.42568573960523, 31.005641835002734]]",1.0
新闵路442弄,"[[121.42389347980031, 31.005839745208114]]",1.0
电二小区,"[[121.40313048008761, 31.005849105351977]]",1.0
丽宾高层住宅,"[[121.40356032005275, 31.005888930030196]]",1.0
宾川路380弄,"[[121.40573939985353, 31.00610803455823]]",1.0
申隆公寓,"[[121.40559953998681, 31.00614804000012]]",1.0
红宾花苑,"[[121.40935073994476, 31.006258965079198]]",1.0
汽轮小区,"[[121.40885034007121, 31.006528515278873]]",1.0
