name,point,type
世茂爱马尚郡西区,"[[121.55913503995018, 30.859682984781983]]",1.0
世茂爱马尚郡东区,"[[121.55941530017606, 30.85975309502937]]",1.0
上海市星火开发区明城新村,"[[121.55699681994736, 30.861344115338646]]",1.0
海滨二村,"[[121.56466086041041, 30.861605925073427]]",1.0
海滨一村,"[[121.5645413396112, 30.86193622537654]]",1.0
世茂爱马尚郡叠墅,"[[121.56121025974575, 30.862245825084806]]",1.0
明城玫瑰园,"[[121.55418917968697, 30.863605680058143]]",1.0
龙吟小区,"[[121.84645428014097, 30.864845970165476]]",1.0
海滨二村北区,"[[121.56348563985043, 30.864898799939716]]",1.0
上海市芦潮港农场新村,"[[121.79595330030463, 30.86509819492575]]",1.0
海芦镜湖苑,"[[121.85176086027558, 30.86540887471982]]",1.0
世茂海滨馨苑,"[[121.56012485987443, 30.865428630127177]]",1.0
真火炭烤鱼枣阳路店,"[[121.56097572015346, 30.865648994605486]]",1.0
明城海湾新苑,"[[121.55698385981741, 30.865678200088936]]",1.0
诺华公寓,"[[121.72735871992903, 30.866190524972787]]",1.0
海汇长风苑,"[[121.85590553970891, 30.866450445231884]]",1.0
海芦汇鸣苑,"[[121.84847874040156, 30.866508134942578]]",1.0
中港小区二三村,"[[121.72730796039414, 30.86659989007292]]",1.0
海汇清波苑,"[[121.8557858399446, 30.866600745328164]]",1.0
海城小区,"[[121.72697838044796, 30.86661042023473]]",1.0
海芦月华苑,"[[121.84879931993274, 30.866768459896527]]",1.0
中港一村,"[[121.73391791987612, 30.867898184653562]]",1.0
海城花苑,"[[121.7242792802647, 30.86823195004453]]",1.0
燎原小区一村北村,"[[121.63645566030047, 30.86915940018619]]",1.0
桃园公寓二村,"[[121.8491695798123, 30.869766990254405]]",1.0
临港海滨国际花园,"[[121.85612460017025, 30.870077220387458]]",1.0
钱桥新苑,"[[121.53469661985318, 30.870937935437446]]",1.0
龙泉新村,"[[121.53825791986718, 30.871646909677203]]",1.0
新芦苑C区,"[[121.84787592033756, 30.873892050078084]]",1.0
新芦苑D区,"[[121.84769556040177, 30.87397170033372]]",1.0
洪卫港新村,"[[121.68782171959671, 30.874499189585997]]",1.0
洪卫新村,"[[121.68730170011341, 30.874879350101956]]",1.0
海尚明徕苑,"[[121.85482139978788, 30.875742090425227]]",1.0
丰新村,"[[121.53900942034849, 30.87597586469441]]",1.0
新芦苑B区,"[[121.84851690043465, 30.87603161996335]]",1.0
海尚明月苑,"[[121.85491158020534, 30.876032024658294]]",1.0
文化新村,"[[121.53876875997037, 30.876145289773355]]",1.0
桃源公寓一邨,"[[121.84457777994068, 30.877064504823032]]",1.0
新芦苑E区,"[[121.8487372199468, 30.87720117029788]]",1.0
新芦苑A区,"[[121.84988939987603, 30.879721305393957]]",1.0
新芦苑F区,"[[121.849789139857, 30.88002096039903]]",1.0
五四兴隆村,"[[121.72832676007201, 30.880208430374843]]",1.0
临港家园海事小区,"[[121.914055079978, 30.88221745467181]]",1.0
绿地·临港家园海事小区西区,"[[121.91007725985779, 30.882731669930628]]",1.0
绿地·临港家园海洋小区,"[[121.90915799984194, 30.883602464582125]]",1.0
绿地·东岸连城,"[[121.91518512039701, 30.885195465198606]]",1.0
绿地·东岸连城北区,"[[121.9139161203327, 30.886416540391032]]",1.0
兴隆别墅,"[[121.836798180192, 30.887364735194417]]",1.0
凌波苑,"[[121.81290083990191, 30.891501134569793]]",1.0
海云苑,"[[121.81290083990191, 30.89201080465495]]",1.0
美芦苑,"[[121.83337943980939, 30.89228575528344]]",1.0
杨王苑,"[[121.49768915972695, 30.892970205011004]]",1.0
青村镇申隆二村,"[[121.56060239988099, 30.89304009042783]]",1.0
海港新苑,"[[121.73493366006036, 30.894788744804778]]",1.0
平安富邸二期,"[[121.7400236996341, 30.89644645523974]]",1.0
滴水湖馨苑南区,"[[121.90412357973945, 30.89653461038408]]",1.0
平安富邸,"[[121.73347385983087, 30.89688835511359]]",1.0
滴水湖馨苑,"[[121.90430357994637, 30.896914320339647]]",1.0
杨王村,"[[121.49766863989588, 30.89816707505055]]",1.0
平苑小区,"[[121.7324539800671, 30.89868803972133]]",1.0
云锦雅苑,"[[121.81787190006818, 30.898975050258443]]",1.0
平苑小区北区,"[[121.73432291966708, 30.899226194933014]]",1.0
红庄新苑,"[[121.71797352006199, 30.90001009528973]]",1.0
云锦新苑,"[[121.82089895961937, 30.900509370111394]]",1.0
云树欣居,"[[121.79948832032986, 30.90067208984508]]",1.0
云锦名苑,"[[121.82075874002388, 30.900708989927978]]",1.0
云树仁居,"[[121.79690226043101, 30.900717584748833]]",1.0
云帆雅苑,"[[121.81033386001965, 30.900740850210127]]",1.0
云松翠庭,"[[121.80739697998672, 30.900745755112567]]",1.0
云松景庭,"[[121.80291641995689, 30.900797955361398]]",1.0
塘外人民小区,"[[121.60934261956632, 30.900832019881847]]",1.0
云帆佳苑,"[[121.81394231958245, 30.90088700982769]]",1.0
云松华庭,"[[121.8030066003744, 30.90100797044157]]",1.0
云帆名苑,"[[121.81411277978104, 30.901087170136904]]",1.0
云树雅居,"[[121.7994982200669, 30.90110183987806]]",1.0
云帆花苑,"[[121.81032378041824, 30.901200525184123]]",1.0
云锦丽苑,"[[121.82241239991247, 30.902051024835004]]",1.0
云锦佳苑,"[[121.82225202021459, 30.90222062977834]]",1.0
塘外文化小区,"[[121.61567969955854, 30.902267474564347]]",1.0
文卫新村,"[[121.82472792035728, 30.902304780241472]]",1.0
国亭富港商务名都,"[[121.73971986008351, 30.902330070076765]]",1.0
东港·铭筑,"[[121.79916738017053, 30.90287015973012]]",1.0
宜浩·佳园,"[[121.90445496012845, 30.9029026045716]]",1.0
蓝色城邦,"[[121.80720635968575, 30.902944049828072]]",1.0
