name,point,type
申晨公寓,"[[121.40508006009676, 31.220142344993327]]",1.0
城宁花苑,"[[121.40816472032563, 31.22016615004779]]",1.0
剑河小区,"[[121.36369499972452, 31.220221364824184]]",1.0
长宁馥邦苑,"[[121.36821839985933, 31.2202258200656]]",1.0
东浜小区,"[[121.42843920020903, 31.220263124843356]]",1.0
中宁大厦,"[[121.40472024044678, 31.22029246522513]]",1.0
平安公寓,"[[121.42974203996323, 31.220315504956673]]",1.0
虹桥馨苑,"[[121.4012226600978, 31.220354430312767]]",1.0
上海花城,"[[121.3993038602849, 31.220365500067835]]",1.0
御华名苑,"[[121.42166435992237, 31.220410725174872]]",1.0
云都公寓,"[[121.40512992030962, 31.220412164989447]]",1.0
美丽园居民区,"[[121.43437235959672, 31.22047390524662]]",1.0
明欣公寓,"[[121.37320332037703, 31.220491635380696]]",1.0
御华山,"[[121.44117725972288, 31.2204963145533]]",1.0
嘉华景苑,"[[121.32330948004861, 31.220542890442132]]",1.0
四维新邨,"[[121.44203909982474, 31.220557874945996]]",1.0
花园大厦,"[[121.41325583998517, 31.220565299748813]]",1.0
虹桥河滨花园,"[[121.39779492019949, 31.22060625037819]]",1.0
延陵邨,"[[121.41791603959359, 31.22062379974868]]",1.0
宏业花园,"[[121.42397951973913, 31.22071483542137]]",1.0
荣轩大厦,"[[121.43169647990877, 31.220758934577248]]",1.0
圣约瀚名邸,"[[121.40856557963785, 31.22080663461859]]",1.0
平塘人家,"[[121.36019219971038, 31.220807265043277]]",1.0
富民新邨,"[[121.446609119915, 31.2208461454333]]",1.0
岐山村,"[[121.42509191995623, 31.220846819924873]]",1.0
沪西别墅,"[[121.42176461994134, 31.220870759877734]]",1.0
亨昌里,"[[121.41843731992645, 31.220874674626614]]",1.0
临虹人才公寓,"[[121.36767893973138, 31.220906040281577]]",1.0
古柏小区,"[[121.4468296201909, 31.220936504815853]]",1.0
桃源坊,"[[121.42006091997553, 31.22095761010572]]",1.0
益健小区,"[[121.40275158042121, 31.22111317483322]]",1.0
景华新邨,"[[121.44512592022508, 31.22115331517343]]",1.0
新宁小区,"[[121.37414237986694, 31.221200609620453]]",1.0
清宁小区,"[[121.40217180008858, 31.221303390439154]]",1.0
渔光邨,"[[121.43188692034516, 31.221359054876572]]",1.0
西园公寓,"[[121.41812664013239, 31.221373905381483]]",1.0
虹德苑,"[[121.40869590039551, 31.221386684747763]]",1.0
协和城,"[[121.4325484202734, 31.22155021477071]]",1.0
虹桥世家花园,"[[121.40638092044324, 31.221652365164537]]",1.0
光华里,"[[121.44584753983219, 31.221724454819764]]",1.0
兆丰嘉园,"[[121.41322596001012, 31.221724860414078]]",1.0
强家渡小区,"[[121.40125236020835, 31.221753660303214]]",1.0
海信花苑,"[[121.42127358021165, 31.221829529809007]]",1.0
南京西路2028弄,"[[121.43611619990284, 31.221836639849116]]",1.0
畅园,"[[121.42758743970867, 31.22186103036237]]",1.0
明珠小区,"[[121.41241415998559, 31.221883304770735]]",1.0
新泾六村小区,"[[121.36196826002725, 31.221893565136]]",1.0
兆丰别墅小区,"[[121.41802638011333, 31.221933569678527]]",1.0
锦园,"[[121.42928123993735, 31.221994094951583]]",1.0
华怡小区,"[[121.43828105962322, 31.222060515280553]]",1.0
金钟小区,"[[121.35903444038722, 31.22211865465227]]",1.0
安定坊,"[[121.42588373974286, 31.222187819712175]]",1.0
南京西路1984弄,"[[121.43656728005598, 31.222237320196243]]",1.0
宁康小区,"[[121.40884638035618, 31.222256670009372]]",1.0
