name,point,type
浦江花苑,"[[121.30402193956093, 30.94322876989186]]",1.0
双高广场,"[[121.31322354013433, 30.94337344472877]]",1.0
建设苑,"[[121.1342263201885, 30.943958760388533]]",1.0
世纪花苑四村,"[[121.30825356005379, 30.944341170108956]]",1.0
世纪花苑二村,"[[121.3113573002993, 30.944655854584056]]",1.0
世纪花苑三村,"[[121.30857287963478, 30.944700450165683]]",1.0
世纪花苑一村,"[[121.31343305968804, 30.944782349625783]]",1.0
世强花苑,"[[121.31427131956582, 30.94663000497077]]",1.0
强恕小区,"[[121.31481024010051, 30.94804835994389]]",1.0
上海富荣外来人口居住中心,"[[121.31319330043053, 30.9533181748939]]",1.0
育新小区,"[[121.17787992042204, 30.970512674620338]]",1.0
李塔小区,"[[121.17615642008272, 30.97185876007375]]",1.0
富民小区,"[[121.02404111960206, 30.97705410036648]]",1.0
蒸淀钟楼小区,"[[121.02365232019847, 30.97768473016624]]",1.0
仓平小区,"[[121.22423946018299, 30.979503629688793]]",1.0
恬润新苑,"[[121.16805966002536, 30.980408850388173]]",1.0
贞溪二村,"[[121.07354471981304, 30.98680667958464]]",1.0
新湖小区,"[[121.11543899971015, 30.98733979499557]]",1.0
贞溪一村,"[[121.07392380024328, 30.988065375216898]]",1.0
东源小区,"[[121.11631973996404, 30.988419975201737]]",1.0
东栅小区,"[[121.11399738017494, 30.98855758496461]]",1.0
卫亨佳园,"[[121.20090174012331, 30.98995173018823]]",1.0
永丰苑,"[[121.21949573963674, 30.992393474978947]]",1.0
新城嘉苑,"[[121.201701839968, 30.997528065168154]]",1.0
练民新村,"[[121.04021736014317, 31.000758074725397]]",1.0
申和苑,"[[121.2402500995626, 31.002703245358497]]",1.0
河畔雅苑,"[[121.22337006038008, 31.002782445053832]]",1.0
旭辉朗悦庭,"[[121.04726183966227, 31.002794594894695]]",1.0
茸南苑,"[[121.24414043992942, 31.004293365446543]]",1.0
华明小区,"[[121.28071806009044, 31.004356454686686]]",1.0
仓城七村,"[[121.21479018002287, 31.004572050060148]]",1.0
平安小区,"[[121.22137782013033, 31.004589329633923]]",1.0
