name,point,type
榆松苑,"[[121.15578528016664, 30.89739856479192]]",1.0
天乐苑,"[[121.15926162032761, 30.897574334587972]]",1.0
罗星新村,"[[121.16427047989882, 30.89774263461495]]",1.0
明鑫苑,"[[121.1532305400574, 30.898263735083326]]",1.0
枫岸华庭,"[[121.0252258801703, 30.898359315030397]]",1.0
万安新村,"[[121.15396188043641, 30.898524780394297]]",1.0
朱泾镇罗星小区,"[[121.16679498030416, 30.89867634044085]]",1.0
罗东小区,"[[121.16553263971956, 30.89879410486413]]",1.0
胜利新村,"[[121.16093436023252, 30.89889630022413]]",1.0
万安金邸,"[[121.17366828016702, 30.898898415429564]]",1.0
罗星新村北区,"[[121.16377944016904, 30.89891105989752]]",1.0
万安荣寓,"[[121.15579500003926, 30.89918745034059]]",1.0
临源一村,"[[121.16571299965526, 30.899224124693653]]",1.0
南圩小区,"[[121.15684691994947, 30.89934913495464]]",1.0
临源一村西部,"[[121.16722571959133, 30.90045608977676]]",1.0
万安世家,"[[121.15351080028327, 30.900482820325998]]",1.0
临源一村东部,"[[121.16960027962926, 30.900560219578516]]",1.0
华丰·格兰郡,"[[121.02640164032346, 30.90087450025804]]",1.0
南圩花苑,"[[121.15871010029095, 30.901211100312096]]",1.0
临源二村,"[[121.16470086035648, 30.90127113005869]]",1.0
珠溪苑,"[[121.16255688019587, 30.90140743490521]]",1.0
南圩新村,"[[121.1563357201175, 30.90181671007319]]",1.0
金昌苑,"[[121.15387116042578, 30.901962464995812]]",1.0
钟楼新村,"[[121.16899908014351, 30.902288175159185]]",1.0
凤翔新村,"[[121.16147490044634, 30.90238501505644]]",1.0
星东花苑,"[[121.17008105989304, 30.90259993503905]]",1.0
宝厦·枫香名苑,"[[121.03021872011792, 30.903362640173746]]",1.0
凤翔新村西区,"[[121.1620757402034, 30.903415380015836]]",1.0
秀南新村,"[[121.15389095989994, 30.903541515328698]]",1.0
鸿越华庭,"[[121.17004091955292, 30.903589260336204]]",1.0
凤翔东村,"[[121.16260674040882, 30.903636150088282]]",1.0
宝华·铂翠豪庭,"[[121.15858950030531, 30.90367934992213]]",1.0
景富公寓,"[[121.16260655964504, 30.904335675151316]]",1.0
红菱苑,"[[121.15979135968364, 30.904820639960604]]",1.0
金山名都,"[[121.17006089979074, 30.90483859492523]]",1.0
秀州苑,"[[121.1635783796386, 30.90490703962829]]",1.0
豫园雅郡,"[[121.15396061958702, 30.906409814861078]]",1.0
华光百合苑,"[[121.16467026002452, 30.907407555114602]]",1.0
金榜逸家,"[[121.15439135977348, 30.907439910023847]]",1.0
镇南花苑,"[[121.2723847801335, 30.929229629743688]]",1.0
镇南人家,"[[121.26905891993329, 30.929442885081166]]",1.0
镇南小区,"[[121.271466059711, 30.929510475428174]]",1.0
港湾新城,"[[121.20886836018678, 30.930488460274262]]",1.0
田园小区,"[[121.06265976013995, 30.93184525485468]]",1.0
桃园二村,"[[121.05984383982135, 30.933387540002983]]",1.0
新谊小区,"[[121.06467683966443, 30.933402254710394]]",1.0
香江花苑,"[[121.06341863955865, 30.93362352030921]]",1.0
港湾别墅,"[[121.20838722019413, 30.93372571477002]]",1.0
宾乐小区,"[[121.21275420034611, 30.933952289966314]]",1.0
强民花苑,"[[121.21180253955558, 30.93468039008802]]",1.0
南乐苑,"[[121.21644869984763, 30.934686285144018]]",1.0
桃园小区,"[[121.06160135971506, 30.934804904822542]]",1.0
林天花苑南区,"[[121.07445282014157, 30.936160259588384]]",1.0
天乐小区,"[[121.20889788043294, 30.93625503014556]]",1.0
林天花苑,"[[121.07467260006045, 30.936569804552903]]",1.0
林天花苑北区,"[[121.07467260006045, 30.936569804552903]]",1.0
兴业公寓,"[[121.29022997982976, 30.937584780313408]]",1.0
新浜·领寓,"[[121.07569086014516, 30.937717934834858]]",1.0
新源人家,"[[121.31004005970102, 30.940130430075328]]",1.0
浦江花苑,"[[121.30402193956093, 30.94322876989186]]",1.0
双高广场,"[[121.31322354013433, 30.94337344472877]]",1.0
建设苑,"[[121.1342263201885, 30.943958760388533]]",1.0
世纪花苑四村,"[[121.30825356005379, 30.944341170108956]]",1.0
世纪花苑二村,"[[121.3113573002993, 30.944655854584056]]",1.0
世纪花苑三村,"[[121.30857287963478, 30.944700450165683]]",1.0
世纪花苑一村,"[[121.31343305968804, 30.944782349625783]]",1.0
世强花苑,"[[121.31427131956582, 30.94663000497077]]",1.0
强恕小区,"[[121.31481024010051, 30.94804835994389]]",1.0
上海富荣外来人口居住中心,"[[121.31319330043053, 30.9533181748939]]",1.0
育新小区,"[[121.17787992042204, 30.970512674620338]]",1.0
李塔小区,"[[121.17615642008272, 30.97185876007375]]",1.0
富民小区,"[[121.02404111960206, 30.97705410036648]]",1.0
蒸淀钟楼小区,"[[121.02365232019847, 30.97768473016624]]",1.0
仓平小区,"[[121.22423946018299, 30.979503629688793]]",1.0
恬润新苑,"[[121.16805966002536, 30.980408850388173]]",1.0
贞溪二村,"[[121.07354471981304, 30.98680667958464]]",1.0
新湖小区,"[[121.11543899971015, 30.98733979499557]]",1.0
贞溪一村,"[[121.07392380024328, 30.988065375216898]]",1.0
东源小区,"[[121.11631973996404, 30.988419975201737]]",1.0
东栅小区,"[[121.11399738017494, 30.98855758496461]]",1.0
卫亨佳园,"[[121.20090174012331, 30.98995173018823]]",1.0
永丰苑,"[[121.21949573963674, 30.992393474978947]]",1.0
祥云新城,"[[121.3636971598961, 30.99489642043349]]",1.0
盛源花苑,"[[121.33122462022015, 30.995443169566656]]",1.0
新城嘉苑,"[[121.201701839968, 30.997528065168154]]",1.0
闵联昆阳住宅三区,"[[121.36673105969071, 30.99983858987909]]",1.0
练民新村,"[[121.04021736014317, 31.000758074725397]]",1.0
申和苑,"[[121.2402500995626, 31.002703245358497]]",1.0
河畔雅苑,"[[121.22337006038008, 31.002782445053832]]",1.0
旭辉朗悦庭,"[[121.04726183966227, 31.002794594894695]]",1.0
天星苑,"[[121.36733981977696, 31.002955964746043]]",1.0
茸南苑,"[[121.24414043992942, 31.004293365446543]]",1.0
华明小区,"[[121.28071806009044, 31.004356454686686]]",1.0
仓城七村,"[[121.21479018002287, 31.004572050060148]]",1.0
平安小区,"[[121.22137782013033, 31.004589329633923]]",1.0
华阳中心苑,"[[121.25951549964068, 31.004740080290503]]",1.0
南良苑,"[[121.23853991998136, 31.004841780124124]]",1.0
环城新村,"[[121.2495211799586, 31.004974260154]]",1.0
景家堰,"[[121.22167805969482, 31.005009449726415]]",1.0
仓城五村,"[[121.2063577201327, 31.00507991970258]]",1.0
天汇家园,"[[121.2357195003548, 31.00514098456881]]",1.0
松汇小区,"[[121.23368855957943, 31.005179819992755]]",1.0
南园子,"[[121.23467927972499, 31.00518058531585]]",1.0
红宾院小区,"[[121.23782981979036, 31.005201419909632]]",1.0
向阳四村,"[[121.20705864004424, 31.005470655346507]]",1.0
仓城六村,"[[121.21084440004901, 31.005586034767724]]",1.0
荣汇公寓,"[[121.22022654042259, 31.005617535321093]]",1.0
荣景苑A区,"[[121.22057682006422, 31.00577782508664]]",1.0
醉白景苑,"[[121.22582256016315, 31.006353060245615]]",1.0
西林南路住宅小区,"[[121.21708283970133, 31.006353644804946]]",1.0
宜居苑,"[[121.13937450003324, 31.006534635165337]]",1.0
方塔家园,"[[121.2442304395831, 31.006662210292774]]",1.0
汇民轩,"[[121.2243211797787, 31.006961369771474]]",1.0
大昆苑,"[[121.13867340025732, 31.007523060241077]]",1.0
同润·玫瑰园,"[[121.31429778031843, 31.007595149896304]]",1.0
华阳中心苑二期,"[[121.2607137599322, 31.007827079656053]]",1.0
荣景苑B区,"[[121.22169803993265, 31.00784800508145]]",1.0
普政苑小区,"[[121.23483893996513, 31.00787901010826]]",1.0
方东小区,"[[121.24417049976876, 31.00813145969918]]",1.0
新港新村,"[[121.14206874028022, 31.008177719925854]]",1.0
松江科技园区新港小区,"[[121.14062658025247, 31.008205574627596]]",1.0
茸联苑,"[[121.25207861983245, 31.008460455086023]]",1.0
鲶鱼浜,"[[121.14668609978378, 31.00900414472556]]",1.0
湾塘新村,"[[121.03512335995512, 31.009056975399083]]",1.0
方塔西村,"[[121.2431504401408, 31.00916074457278]]",1.0
白云小区20号房东楼,"[[121.249829699581, 31.00937075965286]]",1.0
白云小区20号房西楼,"[[121.24967976011295, 31.009370804619024]]",1.0
白云新村,"[[121.24949975990603, 31.009370894551175]]",1.0
同润·玫瑰芳苑,"[[121.31196227963554, 31.00958792973922]]",1.0
练北小区,"[[121.03584083998285, 31.00978457999441]]",1.0
乐莫苑小区,"[[121.24748087993873, 31.009801409907162]]",1.0
秀野苑小区,"[[121.21306704031169, 31.00987647002315]]",1.0
兴日家园,"[[121.20445385985784, 31.009894065258912]]",1.0
松石苑,"[[121.22347013963528, 31.010008905086956]]",1.0
西新苑,"[[121.21504001978109, 31.010129145343818]]",1.0
东外苑南区,"[[121.25637557966937, 31.01029708474274]]",1.0
黑鱼弄小区,"[[121.22984484006733, 31.010503499836737]]",1.0
上海市农校家属宿舍,"[[121.21671239995739, 31.01067103543999]]",1.0
练北新村,"[[121.03674768036129, 31.011181290084487]]",1.0
花园浜小区东区,"[[121.19837436008874, 31.01125441485943]]",1.0
花园浜小区西区,"[[121.19806404002352, 31.01126395486768]]",1.0
龙潭苑南区,"[[121.22820341995194, 31.011891345309415]]",1.0
龙潭苑,"[[121.22820341995194, 31.011891345309415]]",1.0
青松石,"[[121.22312957986627, 31.01190749983131]]",1.0
华亭新家三辰苑二村,"[[121.18867740034182, 31.01218807481989]]",1.0
华亭新家三辰苑一村,"[[121.18426866017057, 31.012189920228693]]",1.0
龙潭苑北区,"[[121.22650206002211, 31.012239825407704]]",1.0
凤凰新村西苑,"[[121.22991449975441, 31.01226241457877]]",1.0
樟馨家园,"[[121.23431784039613, 31.01238571522864]]",1.0
东外苑,"[[121.25142773999823, 31.0124375998154]]",1.0
祥东小区,"[[121.31602398042244, 31.012609319964255]]",1.0
耀江西村1号2号,"[[121.25107782008536, 31.012977329739975]]",1.0
荣欣苑小区,"[[121.2041629804372, 31.013151524823044]]",1.0
祥峰家园,"[[121.31471645969688, 31.013181224933682]]",1.0
耀江西村7号,"[[121.25107764022098, 31.013347005060282]]",1.0
元峰苑,"[[121.34138328021426, 31.013605755301427]]",1.0
凤凰小区,"[[121.23187577994342, 31.013643060079275]]",1.0
嘉禾名邸,"[[121.22878356001335, 31.013740620333373]]",1.0
玉龙苑,"[[121.21054253990634, 31.013870264800886]]",1.0
西林小区,"[[121.21705242013323, 31.01452919986278]]",1.0
谷北小区,"[[121.23203579991235, 31.014562589891653]]",1.0
桃园坊,"[[121.22760240033068, 31.014599175211764]]",1.0
同济城市雅筑,"[[121.24246032018769, 31.014637874838108]]",1.0
菜花泾25弄,"[[121.23545814028104, 31.014745065032784]]",1.0
好莱坞公寓,"[[121.31182223990444, 31.014755189600372]]",1.0
三星苑,"[[121.19504867975289, 31.01491723484257]]",1.0
影视公寓,"[[121.30659270019302, 31.014943965391723]]",1.0
华亭新家银杏苑,"[[121.18859693979701, 31.015036215149244]]",1.0
玉树南苑,"[[121.20584526035054, 31.015122659782918]]",1.0
华亭新家百合苑,"[[121.18436855956146, 31.01520833999296]]",1.0
蓝天四村,"[[121.25178666032619, 31.015365074738405]]",1.0
人乐小区,"[[121.22017631958158, 31.01545246455965]]",1.0
影视之家,"[[121.31302967957606, 31.015452735255565]]",1.0
金色华亭,"[[121.18522032006182, 31.015479734702062]]",1.0
玉树苑,"[[121.20630587961273, 31.015553040240682]]",1.0
玉乐小区,"[[121.20166871973575, 31.015716254601465]]",1.0
海尚名都二期,"[[121.19871420040008, 31.01589189039848]]",1.0
蓝天新村,"[[121.25096693997236, 31.016004974749784]]",1.0
乐都路118弄小区,"[[121.23307620040637, 31.01601244541805]]",1.0
通波小区,"[[121.2355079995946, 31.016024324563006]]",1.0
影都小区,"[[121.30426710014663, 31.016077200202695]]",1.0
松乐南苑,"[[121.21652124006326, 31.01677699506235]]",1.0
荣都公寓（东侧）,"[[121.23952991977, 31.016786130375657]]",1.0
玉乐小区,"[[121.1975222398595, 31.01682955503997]]",1.0
铁阳小区,"[[121.36333823956817, 31.0168459352917]]",1.0
荣乐三村,"[[121.21700202032712, 31.01686762514082]]",1.0
耀江花苑,"[[121.2517459803928, 31.017253589881342]]",1.0
荣都公寓,"[[121.23926981964652, 31.017295799561538]]",1.0
车墩虬中小区,"[[121.3052252396532, 31.01742486036909]]",1.0
月光公寓,"[[121.25084651985102, 31.01746382979198]]",1.0
蓝天新村一村,"[[121.2502867197563, 31.017753854856565]]",1.0
海尚名都,"[[121.1994549000236, 31.018061565089234]]",1.0
颐景园,"[[121.18715388044731, 31.01852159979201]]",1.0
华亭荣园,"[[121.19667066012292, 31.018557194958646]]",1.0
松乐苑,"[[121.21181370014226, 31.018589055240703]]",1.0
荣都公寓西区,"[[121.23946997995564, 31.0186251900006]]",1.0
艺境,"[[121.18329648044825, 31.018664609983787]]",1.0
荣乐小区,"[[121.21872425981681, 31.018668930326896]]",1.0
新理想花园,"[[121.1939865003768, 31.01867324977072]]",1.0
梦莱小区,"[[121.24484963989903, 31.018695570044613]]",1.0
绿地凯旋宫,"[[121.18430843988273, 31.01870641496913]]",1.0
维罗纳贵都,"[[121.20054659964593, 31.01875267519589]]",1.0
九峰小区,"[[121.22465958027547, 31.018784264782035]]",1.0
玉树公寓,"[[121.20618509976262, 31.019040630021117]]",1.0
民乐小区,"[[121.21859393995842, 31.019118479834027]]",1.0
舜龙公寓,"[[121.24920690017836, 31.019133240406788]]",1.0
蓝天新村一村一期,"[[121.24620863961704, 31.019184540434217]]",1.0
南联小区,"[[121.30594361990228, 31.01919259476253]]",1.0
白洋苑,"[[121.21178364030276, 31.01923858519266]]",1.0
车墩庵前小区,"[[121.30436663980865, 31.019245244672298]]",1.0
北九峰,"[[121.22337852030253, 31.019282955044368]]",1.0
蓝天东区,"[[121.25509343961062, 31.019320529618838]]",1.0
华中公寓,"[[121.22706131962421, 31.019325750183263]]",1.0
爱丽雅花苑,"[[121.25258495972824, 31.01937155984964]]",1.0
南姚小区,"[[121.30752042013141, 31.019499765401946]]",1.0
五丰苑,"[[121.2054838201223, 31.01962923000498]]",1.0
方舟园三村,"[[121.23374598039277, 31.020759944915575]]",1.0
高乐小区,"[[121.23098370013767, 31.021457399739248]]",1.0
方舟园,"[[121.2310438198165, 31.021807184753797]]",1.0
方舟休闲广场公寓,"[[121.2349365002194, 31.021810155214567]]",1.0
谷水苑,"[[121.2360973199354, 31.02201094504919]]",1.0
正泰科沁苑,"[[121.16850767978568, 31.02424496982956]]",1.0
海立华亭,"[[121.1806411196919, 31.024506644665934]]",1.0
赛杰苑,"[[121.19074001973613, 31.02490394985744]]",1.0
放生池花园,"[[121.21191233958288, 31.025064420386748]]",1.0
天乐小区,"[[121.23087264016036, 31.025334420247347]]",1.0
春峰苑,"[[121.18466880002515, 31.025863125382934]]",1.0
东庭人家,"[[121.21162164002672, 31.025883420383636]]",1.0
润峰苑,"[[121.18491936014038, 31.025893544951217]]",1.0
S32小区,"[[121.35894713959884, 31.025978819566944]]",1.0
公捷苑,"[[121.22857062033796, 31.026081960114425]]",1.0
江虹花园,"[[121.22184420044958, 31.026175424856056]]",1.0
江诚苑,"[[121.224377159878, 31.02661800012067]]",1.0
江诚苑西区,"[[121.22170380009042, 31.026774644933973]]",1.0
江诚苑东区,"[[121.22200403965473, 31.026824954807836]]",1.0
昌鑫花园,"[[121.19604750009213, 31.026850064778742]]",1.0
荣鹰小区,"[[121.2139441796802, 31.02687530964787]]",1.0
华亭雅居,"[[121.19393394039909, 31.027746330029203]]",1.0
祥和花苑,"[[121.2307815604207, 31.02848180998756]]",1.0
东明花苑,"[[121.23013104031537, 31.02851124030157]]",1.0
浪琴水岸花园,"[[121.17786570034183, 31.028709330371335]]",1.0
新上海花园,"[[121.22293391976464, 31.028813909834113]]",1.0
恬园,"[[121.1348167197159, 31.029055965060735]]",1.0
江中公寓,"[[121.22266338031076, 31.029153209652932]]",1.0
华亭新苑,"[[121.18147254022566, 31.029255539911247]]",1.0
兰桥公寓南区,"[[121.20560153957942, 31.029272144993534]]",1.0
喆苑,"[[121.21810758030064, 31.029417540187374]]",1.0
名仕豪庭,"[[121.17750497957124, 31.02954821977461]]",1.0
华亭公寓,"[[121.18195350035391, 31.0296161698504]]",1.0
兰桥公寓北区,"[[121.20547121972103, 31.029641685415527]]",1.0
西林花园,"[[121.21039799996774, 31.029718050447784]]",1.0
原野花园,"[[121.18570073969754, 31.030072650432537]]",1.0
西林花园北区,"[[121.21044768031629, 31.030167599954822]]",1.0
天虹一村,"[[121.24246913983902, 31.030189109939464]]",1.0
马桥西街小区,"[[121.36430609984666, 31.030207334700805]]",1.0
华亭别墅,"[[121.1856406200187, 31.030382340073047]]",1.0
施贤苑,"[[121.2148729797043, 31.030462574887927]]",1.0
明丰公寓,"[[121.22393417991853, 31.03048332044893]]",1.0
大江苑,"[[121.23865691998091, 31.030706384691918]]",1.0
绿洲华庭苑,"[[121.21515306006577, 31.030812494800884]]",1.0
海德名园,"[[121.19581601999332, 31.030896690230087]]",1.0
泰晤士小镇,"[[121.19337215999725, 31.031422739667697]]",1.0
建设花园,"[[121.23094068016839, 31.031989110209366]]",1.0
鼎信公寓,"[[121.23035009987723, 31.032108540177056]]",1.0
东苑新村,"[[121.13647019974, 31.032127530261405]]",1.0
天虹三村,"[[121.2423092997344, 31.03215817466007]]",1.0
诺丁汉绿洲,"[[121.19098823981554, 31.032358559799754]]",1.0
天虹四村,"[[121.24279944014214, 31.032548055048757]]",1.0
丽斯花园,"[[121.19437332037248, 31.032573344883957]]",1.0
英郡别苑,"[[121.1780060998017, 31.033067489972716]]",1.0
华亭公寓（二期）西区,"[[121.18064093982751, 31.033141919663926]]",1.0
太阳别墅,"[[121.07298546021093, 31.033388250267578]]",1.0
月亮河桂园,"[[121.18055076030944, 31.03360154967185]]",1.0
月亮河碧园,"[[121.18452768020835, 31.03415779474647]]",1.0
百吉花苑,"[[121.24095767985304, 31.034215440390284]]",1.0
河滨公寓,"[[121.19301089963332, 31.03427011467405]]",1.0
西苑新村,"[[121.12858620039285, 31.03438351468752]]",1.0
富岩路328弄小区,"[[121.36579271965837, 31.034422350111377]]",1.0
富岩路335弄小区,"[[121.3654134602631, 31.034612925446176]]",1.0
东华新村,"[[121.13555868018896, 31.034654955261985]]",1.0
裕盛豪园,"[[121.23337175989889, 31.03469892041892]]",1.0
西苑新村244弄,"[[121.12944767986666, 31.034844540443224]]",1.0
湖畔尚品西楼,"[[121.2095334601012, 31.034971395213738]]",1.0
湖畔尚品,"[[121.21081505966733, 31.034972879994477]]",1.0
平原四村,"[[121.13499780000845, 31.035003885021382]]",1.0
裕丰小区,"[[121.36535352044874, 31.03522267478671]]",1.0
安信湖畔天地,"[[121.20812153977727, 31.035459194686197]]",1.0
安天红墅,"[[121.17648330026421, 31.03588350022339]]",1.0
清河新村,"[[121.13307432012382, 31.035900240203993]]",1.0
水岸华庭,"[[121.23529271988322, 31.036149314639204]]",1.0
辰弘佳苑,"[[121.17642317968601, 31.03616321995672]]",1.0
珠江新城,"[[121.20531750040243, 31.03620502494197]]",1.0
平原新村,"[[121.13511822012978, 31.036503464963026]]",1.0
罗兰岗,"[[121.18842324024033, 31.036581720370158]]",1.0
天虹五村,"[[121.23988577970502, 31.03739203471467]]",1.0
肯辛顿花园,"[[121.18808249970763, 31.037690429769555]]",1.0
锦桂苑,"[[121.23036738035037, 31.03769322036593]]",1.0
华亭绿景苑,"[[121.23068778001708, 31.037723594967964]]",1.0
茸平苑,"[[121.23940536006931, 31.037881229934825]]",1.0
汉普顿庄园,"[[121.19056614031521, 31.038163695298365]]",1.0
上泰绅苑,"[[121.18207284038928, 31.03865095517748]]",1.0
逸庭苑,"[[121.18176233956032, 31.0388503501636]]",1.0
温莎半岛别墅,"[[121.19044572019388, 31.039212779646114]]",1.0
开元地中海,"[[121.21387613967218, 31.0392619204014]]",1.0
皇骐爱丽苑,"[[121.23164789983088, 31.039402905319896]]",1.0
合众湖畔花园,"[[121.20202134031268, 31.03940767532402]]",1.0
南部阳光翠庭,"[[121.21283465999164, 31.03964027957526]]",1.0
杏林花苑,"[[121.2352414198557, 31.040016164714274]]",1.0
德邑小城,"[[121.17929777986879, 31.040045505096046]]",1.0
东鼎·名人府邸,"[[121.20237144008993, 31.040117324954636]]",1.0
名庭花苑,"[[121.22919414009752, 31.04051881469165]]",1.0
开元地中海单身公寓1号楼,"[[121.21577765991114, 31.040622719662856]]",1.0
