name,point,type
都市苑,"[[121.39172028036673, 31.10265125984779]]",1.0
春申城四季苑,"[[121.38722225999936, 31.102972830431817]]",1.0
月光流域,"[[121.41996065995656, 31.10315071543321]]",1.0
春申复地城,"[[121.39098065992957, 31.10360116516175]]",1.0
虹山半岛,"[[121.42280321999272, 31.10393245471905]]",1.0
华唐苑,"[[121.42795859980963, 31.10419674028732]]",1.0
蚂蚁工房,"[[121.398766019836, 31.104486539622165]]",1.0
春申万科假日风景畹町路99弄B,"[[121.40014517965639, 31.104975510011855]]",1.0
假日风景西区,"[[121.3982362795807, 31.105106460295005]]",1.0
春申城华丽家园,"[[121.38971130013647, 31.105190879655396]]",1.0
假日风景100弄B,"[[121.40081459991393, 31.105664774709616]]",1.0
莲花南路1288弄（1号～92号）,"[[121.40303327956221, 31.105833480330908]]",1.0
莲花南路1108弄（48号～79号）,"[[121.40290332033207, 31.106133405132617]]",1.0
银都名墅,"[[121.433457419924, 31.1062627798035]]",1.0
春申万科假日风景畹町路99弄A,"[[121.39666703995206, 31.106306565095963]]",1.0
上海大学工商管理硕士（MBA）教育管理中心,"[[121.43280636022538, 31.106631824698944]]",1.0
春申景城湖畔林语,"[[121.40984106021679, 31.106721059929086]]",1.0
莲花南路1108弄（1号～45号）,"[[121.40479224016985, 31.106772045193807]]",1.0
春申万科假日风畹町路100弄A,"[[121.39799615969503, 31.106775600213815]]",1.0
莘城公寓,"[[121.38914142044032, 31.106790269955063]]",1.0
上海春城,"[[121.40567171957427, 31.10692149003475]]",1.0
银兆公寓,"[[121.43490965955326, 31.107354164663057]]",1.0
名都新城南区,"[[121.38804198035317, 31.107770280074426]]",1.0
春申景城湖滨晨韵,"[[121.40711064024391, 31.10789015970314]]",1.0
新申花城茉莉苑,"[[121.39627715956328, 31.107955814709193]]",1.0
春申玫瑰苑,"[[121.3941382201028, 31.108666545324887]]",1.0
盛华景苑,"[[121.45207446006842, 31.108972634979224]]",1.0
水仙苑康诗丹郡,"[[121.39868556019057, 31.10900395476874]]",1.0
水仙苑,"[[121.39616699980729, 31.109954715337857]]",1.0
随园玉兰苑,"[[121.39959473970553, 31.111092269592653]]",1.0
江南名邸,"[[121.39168932030599, 31.11149619019708]]",1.0
新空间家园,"[[121.38997032017414, 31.111836884864402]]",1.0
北陆家塘小区,"[[121.40873999955139, 31.111837695153575]]",1.0
莘南花苑二村,"[[121.39329833964678, 31.11207502534223]]",1.0
东苑利景花苑,"[[121.38694199977348, 31.112837910341312]]",1.0
莘南花苑一街坊,"[[121.3912893603158, 31.11289560005192]]",1.0
莘南花苑一村,"[[121.3915392000741, 31.113005400079217]]",1.0
绿地春申花园,"[[121.40277263984547, 31.113029474930393]]",1.0
高兴花园五街坊,"[[121.39783560013294, 31.113221939740797]]",1.0
锦梅馨苑,"[[121.40316234036985, 31.113339074638667]]",1.0
徐汇芳邻,"[[121.4244536396238, 31.113468405242756]]",1.0
常兴家园,"[[121.3956068399838, 31.113622889884546]]",1.0
莲花新村,"[[121.41093114016007, 31.11386768984201]]",1.0
光华绿苑,"[[121.44956814035746, 31.113924794993373]]",1.0
虹梅南苑,"[[121.42419335963585, 31.114297709671618]]",1.0
源梦苑,"[[121.41817577998839, 31.11434153993015]]",1.0
中城绿苑·西苑,"[[121.39684596007308, 31.114871505016012]]",1.0
春馨苑,"[[121.40829954039157, 31.11493581013955]]",1.0
中城绿苑·东苑,"[[121.39709579983139, 31.115011274950398]]",1.0
高兴花园一街坊,"[[121.40273231964096, 31.115328164563167]]",1.0
都市宜家,"[[121.4204675403448, 31.115522519748538]]",1.0
江南欣苑,"[[121.42022741955986, 31.115552309791326]]",1.0
高兴花园二／三／四街坊,"[[121.40107344008723, 31.115588850145357]]",1.0
紫阳花苑二区,"[[121.44802409973249, 31.11561053999447]]",1.0
紫阳花苑,"[[121.45078169991562, 31.11580673968936]]",1.0
虹梅菁典,"[[121.4249745602279, 31.115957984973036]]",1.0
普乐二村,"[[121.41983663984914, 31.11660126014013]]",1.0
名人花苑二区,"[[121.4482849202129, 31.11679061959145]]",1.0
名人花苑,"[[121.45165416011153, 31.116948254558302]]",1.0
蔷薇新村虹梅家人,"[[121.42813968010216, 31.116951584747852]]",1.0
蔷薇八村虹梅新苑,"[[121.42322190027053, 31.116965355167054]]",1.0
薇馨家园,"[[121.4280395999476, 31.117351274941413]]",1.0
陇兴别墅,"[[121.41088074035397, 31.117585634669396]]",1.0
华泾绿苑,"[[121.45359941977742, 31.11774232534814]]",1.0
慕家埝小区,"[[121.40129304014172, 31.117757489716475]]",1.0
汤家巷小区,"[[121.39521659986625, 31.117790654914884]]",1.0
天润苑,"[[121.45046112038452, 31.11779515512238]]",1.0
旭辉·朗香郡,"[[121.4546122803325, 31.11809449536475]]",1.0
沙家浜小区华济苑,"[[121.45630680001884, 31.118248259649526]]",1.0
龙华宅小区,"[[121.4050406401135, 31.11912472542575]]",1.0
印象欧洲二期,"[[121.4525667597483, 31.11935926501812]]",1.0
滨江108,"[[121.45629672041741, 31.119387705178475]]",1.0
普乐三村商建城,"[[121.42197989965273, 31.11942262495417]]",1.0
漓江山水花园,"[[121.44060936033375, 31.11975611964923]]",1.0
印象欧洲,"[[121.45609620037942, 31.1197770900407]]",1.0
森安苑,"[[121.41703386042431, 31.120157294623446]]",1.0
华泾路1000弄,"[[121.44146076020596, 31.12034696973693]]",1.0
华泾四村,"[[121.44347388001566, 31.120869240223342]]",1.0
华欣家园,"[[121.45307814034402, 31.121149590381364]]",1.0
恒德花苑,"[[121.40236187989692, 31.122144360174126]]",1.0
阳城上海映象,"[[121.39706501963497, 31.122297090238632]]",1.0
华建一街坊,"[[121.43425877971904, 31.12241634034185]]",1.0
罗阳东四村,"[[121.40552988029981, 31.12253248508616]]",1.0
虹梅佳苑,"[[121.41484253995134, 31.12282476025458]]",1.0
朱行三村,"[[121.41557298010903, 31.12282511998336]]",1.0
未名园,"[[121.39956341991592, 31.123175264726783]]",1.0
华建二街坊,"[[121.43415833983562, 31.12317567032092]]",1.0
莘朱路1760弄,"[[121.41563291992338, 31.123224945075243]]",1.0
罗阳五村莲盛花苑,"[[121.40127234044625, 31.12338424468723]]",1.0
罗阳二村,"[[121.40736876006028, 31.12375081464846]]",1.0
朱行二村,"[[121.41746477957597, 31.123836135129544]]",1.0
上海阳城,"[[121.39375661977226, 31.123987830074327]]",1.0
罗阳一村,"[[121.40682894020347, 31.124010959738023]]",1.0
上海晶城晶华坊,"[[121.42841904010663, 31.124227545265043]]",1.0
罗锦新苑,"[[121.40513999991123, 31.12423168484439]]",1.0
朱行四村,"[[121.4178652800587, 31.124236319950292]]",1.0
盛源花园,"[[121.40169192004612, 31.12471323043126]]",1.0
罗阳三村,"[[121.40500985991716, 31.12537113037343]]",1.0
朱莘苑,"[[121.42078847960477, 31.12548840016953]]",1.0
罗锦苑,"[[121.41188063987963, 31.125681720235264]]",1.0
东湾小区,"[[121.45503384023957, 31.125962295223836]]",1.0
罗阳七村华宝小区,"[[121.3965547200244, 31.126015169964155]]",1.0
鸿福新村,"[[121.41475236043308, 31.126143014888314]]",1.0
莲花新苑,"[[121.40290098029608, 31.126211730287196]]",1.0
莲花河畔景苑,"[[121.39691453967428, 31.126274865392787]]",1.0
莲花苑,"[[121.40430012035438, 31.126440870349946]]",1.0
绿梅别墅,"[[121.40573921998904, 31.126649985208708]]",1.0
东苑绿世界花园,"[[121.38960996003172, 31.126759154811218]]",1.0
上海晶城晶采坊,"[[121.4308222201694, 31.12689878984729]]",1.0
绿梅公寓,"[[121.4093291400278, 31.127159610327787]]",1.0
上海晶城晶欣坊,"[[121.43161331959911, 31.127479425435162]]",1.0
东苑佳佳花园,"[[121.38693263962972, 31.12759098003974]]",1.0
东苑绿世界花园北区,"[[121.38847127982585, 31.12809961500526]]",1.0
莲浦花苑,"[[121.39135866027401, 31.128337349888866]]",1.0
徐汇臻园,"[[121.44228066042425, 31.128503040083316]]",1.0
明丰新纪苑,"[[121.44884814042942, 31.12879765528764]]",1.0
上海东湾度假中心村,"[[121.4517657596821, 31.128914159760733]]",1.0
