name,point,type
蓬莱花苑,"[[121.48757675995952, 31.22013550474984]]",1.0
谢家宅小区,"[[121.51349658020308, 31.220158950075522]]",1.0
黄浦湾,"[[121.49942580006064, 31.220289764560988]]",1.0
泛海国际公寓,"[[121.49428067970962, 31.220565705343034]]",1.0
文华小区,"[[121.48235387972784, 31.220591040144406]]",1.0
潍坊一村,"[[121.51693187980246, 31.22060944477014]]",1.0
绿地名人坊,"[[121.49349588003085, 31.220763704581373]]",1.0
天灯小区,"[[121.4928313197097, 31.2208018196483]]",1.0
三在里,"[[121.48301808032025, 31.220813294997683]]",1.0
滨康大楼,"[[121.5123985799306, 31.220856719661903]]",1.0
集成大厦,"[[121.51213812007825, 31.220906040281577]]",1.0
南泉大楼,"[[121.5176493598301, 31.221222255402864]]",1.0
潍坊四村,"[[121.51935521996742, 31.221236835211784]]",1.0
集贤邨,"[[121.49347788010016, 31.221244394913]]",1.0
佳志里,"[[121.48385400016204, 31.221246420186198]]",1.0
科普楼,"[[121.49326691983251, 31.22135397010974]]",1.0
百富达公寓,"[[121.51429937981254, 31.221393030364062]]",1.0
大华里,"[[121.48213698033749, 31.221471780398375]]",1.0
潍坊五村,"[[121.51927710035798, 31.22149698030143]]",1.0
紫金苑公寓,"[[121.48640784004986, 31.22161438499593]]",1.0
福庆里,"[[121.48247933964994, 31.221643049986845]]",1.0
浦潍大楼,"[[121.5216667797981, 31.221663659750163]]",1.0
上海滩花园,"[[121.49515205981982, 31.221689984705087]]",1.0
华润·外滩九里,"[[121.50000647971538, 31.221693764555653]]",1.0
浦坊大楼,"[[121.52215007996233, 31.221865259873866]]",1.0
福鑫大楼,"[[121.49683523995438, 31.2219352801891]]",1.0
永业里,"[[121.48395804003155, 31.22199787480215]]",1.0
北高大楼,"[[121.52091797998082, 31.22212229960452]]",1.0
德本坊二衖,"[[121.49296812008276, 31.22212427991164]]",1.0
潍坊二村,"[[121.51475693958119, 31.222125404963514]]",1.0
悦来小区,"[[121.49534537988538, 31.222141244722707]]",1.0
港龙公寓,"[[121.48425054003044, 31.222239119739598]]",1.0
保利·Oｎｅ56,"[[121.50830700006804, 31.222326915155072]]",1.0
华兴里,"[[121.48540631994587, 31.222332585380606]]",1.0
潍坊八村,"[[121.52376000042372, 31.22242033493054]]",1.0
潍坊九村,"[[121.52277701984359, 31.222467765175253]]",1.0
申江新苑,"[[121.49769383979893, 31.222478610099856]]",1.0
士林华苑,"[[121.48642259972326, 31.22261599503217]]",1.0
蔚蓝海岸天科苑,"[[121.51398995996875, 31.222804140398836]]",1.0
海琪园,"[[121.49916624042977, 31.222903590128624]]",1.0
九间堂别墅,"[[121.55633838041192, 31.222961639568013]]",1.0
滨江兰庭,"[[121.51155420016627, 31.223087460118258]]",1.0
天安花园,"[[121.55066963969216, 31.223284919763245]]",1.0
浦园千秋别墅,"[[121.56343956038744, 31.223419829761355]]",1.0
泰瑞里,"[[121.48268850037405, 31.22343643484364]]",1.0
江夏里小区,"[[121.49352863963513, 31.22357818508523]]",1.0
福绥里,"[[121.48311132023133, 31.22360793016194]]",1.0
赵家宅小区,"[[121.49010486035104, 31.223698380376014]]",1.0
世贸滨江花园南区,"[[121.5101446198784, 31.223724254770644]]",1.0
中复小区,"[[121.49440595976732, 31.223821139633884]]",1.0
陈家宅小区,"[[121.51123937989348, 31.2238476003865]]",1.0
世茂滨江花园,"[[121.5098065800097, 31.22409379519255]]",1.0
中华新邨,"[[121.49291682005524, 31.22414730035765]]",1.0
复兴小区,"[[121.48750476023655, 31.224171555073305]]",1.0
新地苑,"[[121.48739423985242, 31.224191264615214]]",1.0
科普楼,"[[121.49400528031947, 31.224290670278293]]",1.0
潍坊十村二小区,"[[121.52053440024245, 31.224294315230544]]",1.0
新怡楼,"[[121.4863401597706, 31.22437850976047]]",1.0
金外滩花园,"[[121.49627201973794, 31.22440749041337]]",1.0
新荣楼,"[[121.48675236043312, 31.22440973961784]]",1.0
东业大厦,"[[121.4939052001649, 31.224440609746424]]",1.0
新晨楼,"[[121.48715429983113, 31.224450960043846]]",1.0
西姚小区,"[[121.49185068006491, 31.22449470037023]]",1.0
学习楼,"[[121.49365355996389, 31.22449996500145]]",1.0
浦江公馆,"[[121.49456021957846, 31.224512655334856]]",1.0
温馨楼,"[[121.49330112015063, 31.22451900005187]]",1.0
复地·雅园,"[[121.48595945966149, 31.224607739755456]]",1.0
上海之窗御景园,"[[121.54901741961825, 31.224612644657896]]",1.0
兴业嘉园,"[[121.52859084009529, 31.22466835496067]]",1.0
久阳滨江公寓,"[[121.51303218019095, 31.22468401485547]]",1.0
四牌楼小区,"[[121.49156970038148, 31.224744270331904]]",1.0
潍坊三村,"[[121.51664496009685, 31.22474445019629]]",1.0
太阳都市花园,"[[121.48467461983789, 31.224874455291868]]",1.0
圣莲大厦,"[[121.49228628018773, 31.22505683960148]]",1.0
共和园小区,"[[121.49443170016292, 31.22506314025179]]",1.0
四新小区,"[[121.49024291977503, 31.225311270398798]]",1.0
联洋新苑,"[[121.54816619961052, 31.22547142526612]]",1.0
