Point,Type,NAME,KIND,ADMINCODE,ADDRESS
"[[121.34586834000004, 30.71353702499999]]",3,金山区石化地段医院,7200,310116,象州路12
"[[121.33311894000003, 30.729667140000025]]",3,上海建国医院,7200,310116,卫清西路767
"[[121.32469656000004, 30.758609204999996]]",3,复旦大学附属金山医院－门诊,7204,310116,
"[[121.32473651999996, 30.758829029999976]]",3,复旦大学附属金山医院－儿科门诊,7204,310116,
"[[121.32288035999994, 30.75955200000002]]",3,复旦大学附属金山医院－肠道门诊,7204,310116,
"[[121.32288035999994, 30.75955200000002]]",3,复旦大学附属金山医院－肝炎门诊,7204,310116,
"[[121.32288035999994, 30.75955200000002]]",3,复旦大学附属金山医院－发热门诊,7204,310116,
"[[121.32288035999994, 30.75955200000002]]",3,复旦大学附属金山医院－职业病科,7204,310116,
"[[121.32288035999994, 30.75955200000002]]",3,复旦大学附属金山医院－高压氧舱,7204,310116,
"[[121.3244172, 30.759849135000003]]",3,复旦大学附属金山医院－住院部,7204,310116,
"[[121.24629125999999, 30.775126409999995]]",3,金山区精神卫生中心－门诊,7204,310116,金石南路1949
"[[121.24614132000002, 30.775276349999967]]",3,金山区精神卫生中心－住院部,7204,310116,金石南路1949
"[[121.33128744000001, 30.791537369999997]]",3,上海市公共卫生临床中心西门,7200,310116,
"[[121.33915091999997, 30.79205325000005]]",3,上海市公共卫生临床中心东门,7200,310116,漕廊公路2901号
"[[121.33595735999997, 30.79330803000004]]",3,上海市公共卫生临床中心－门诊,7204,310116,
"[[121.33698516000001, 30.794215634999997]]",3,上海市公共卫生临床中心,7200,310116,漕廊公路2901号
"[[121.33698516000001, 30.794215634999997]]",3,上海市公共卫生中心,7200,310116,漕廊公路2901号
"[[121.33698516000001, 30.794215634999997]]",3,复旦大学附属公共卫生中心,7200,310116,漕廊公路2901号
"[[121.41909558, 30.795677279999964]]",3,金山区中心医院漕泾分院－门诊,7204,310116,中一东路99号
"[[121.41865529999998, 30.79572695999999]]",3,金山区中心医院漕泾分院－病房楼,7204,310116,中一东路99号
"[[121.41888552000003, 30.79597697999998]]",3,金山区中心医院漕泾分院,7200,310116,中一东路99号
"[[121.46103503999997, 30.815250974999994]]",3,上海化学工业区医疗急救中心,7200,310120,环华路120
"[[121.17021606000003, 30.831230384999994]]",3,金山区吕巷镇卫生院,7200,310116,溪北路74
"[[121.51481148000003, 30.84676627499998]]",3,上海市奉贤区海湾医院－发热门诊,7204,310120,奉炮公路1180弄1号
"[[121.51481148000003, 30.84676627499998]]",3,上海市奉贤区海湾医院－肠道门诊,7204,310120,奉炮公路1180弄1号
"[[121.51449036000002, 30.846905325000026]]",3,上海市奉贤区海湾医院－门诊,7204,310120,奉炮公路1180弄1号
"[[121.51467107999997, 30.84699577500005]]",3,上海市奉贤区海湾医院－儿保门诊,7204,310120,奉炮公路1180弄1号
"[[121.51387836, 30.84727342500002]]",3,上海市奉贤区海湾医院－病房大楼,7204,310120,奉炮公路1180弄1号
"[[121.56288839999996, 30.86068468499998]]",3,奉贤区医疗救护站海湾站,7200,310120,海农公路
"[[121.45462164000001, 30.864420089999964]]",3,新寺医院,7200,310120,沪杭公路2491
"[[121.31680122000003, 30.88554151499998]]",3,上海享升中医门诊部,7200,310116,亭升路106
"[[121.30990614, 30.885894045000015]]",3,金山区亭林医院－门诊,7204,310116,亭林镇寺平北路80号
"[[121.30997598, 30.886043849999975]]",3,金山区亭林医院－医技,7204,310116,亭林镇寺平北路80号
"[[121.91917283999999, 30.887270325000024]]",3,上海交通大学附属第六人民医院东院－病房楼,7204,310115,
"[[121.91836410000005, 30.88774138500001]]",3,上海市第六人民医院东院－门诊,7204,310115,环湖西三路222
"[[121.91789466, 30.889021499999966]]",3,上海交通大学附属第六人民医院东院－发热门诊,7204,310115,
"[[121.91802407999998, 30.889111185000015]]",3,上海交通大学附属第六人民医院东院－肠道门诊,7204,310115,
"[[121.91815368000005, 30.88918089000001]]",3,上海交通大学附属第六人民医院东院－肝炎门诊,7204,310115,
"[[121.16008385999996, 30.891809339999973]]",3,上海市金山区医疗救护站,7200,310116,卫生路46
"[[121.0176018, 30.893872769999994]]",3,金山区中西医结合医院－门诊,7204,310116,
"[[121.01722308000001, 30.89387380499999]]",3,金山区中西医结合医院－肠道门诊,7204,310116,
"[[121.15377215999996, 30.89388739500005]]",3,上海市第六人民医院金山分院－结核病门诊,7204,310116,健康路147号
"[[121.15377215999996, 30.89388739500005]]",3,上海市第六人民医院金山分院－肝炎门诊,7204,310116,健康路147号
"[[121.15377215999996, 30.89388739500005]]",3,上海市第六人民医院金山分院－肠道门诊,7204,310116,健康路147号
"[[121.15377215999996, 30.89388739500005]]",3,上海市第六人民医院金山分院－发热门诊,7204,310116,健康路147号
"[[121.15372212, 30.893987249999963]]",3,上海市驾驶员体检中心健康检查第九分站,7204,310116,健康路147号
"[[121.15372212, 30.893987249999963]]",3,上海市第六人民医院金山分院体检中心,7204,310116,健康路147号
"[[121.15372212, 30.893987249999963]]",3,上海市金山区体检中心,7204,310116,健康路147号
"[[121.01727293999997, 30.89423339999999]]",3,金山区中西医结合医院－病房楼,7204,310116,
"[[121.01818985999998, 30.894450795000036]]",3,金山区中西医结合医院－体检机构,7204,310116,
"[[121.15297061999999, 30.894655590000017]]",3,上海市第六人民医院金山分院－住院部,7204,310116,健康路147号
"[[121.15322118000003, 30.894745950000033]]",3,上海市第六人民医院金山分院－医技楼,7204,310116,健康路147号
"[[121.1537619, 30.895566344999967]]",3,上海市第六人民医院金山分院－门诊,7204,310116,健康路147号
"[[121.01793048000002, 30.895800614999988]]",3,众仁老年护理医院,7200,310116,枫阳路258号
"[[121.61077272000003, 30.89867274000004]]",3,奉贤区皮肤病防治所－门诊楼,7204,310120,奉柘公路941
