Point,Type,NAME,KIND,ADMINCODE,ADDRESS
"[[121.33850526000003, 30.712243275000006]]",4,驿宾楼,AF00,310116,新城路105
"[[121.33677617999996, 30.714543539999994]]",4,友谊楼,AF00,310116,北随塘河路108
"[[121.33723697999999, 30.716703720000027]]",4,锦宏大楼,AF00,310116,金一东路7号
"[[121.35400505999996, 30.721583340000002]]",4,上置海景大厦,AF00,310116,杭州湾大道88
"[[121.3233606, 30.725497305000015]]",4,惠驰商务楼,AF00,310116,施三路16
"[[121.3324902, 30.726769500000028]]",4,金山信息大楼,AF00,310116,卫零路465
"[[121.33957518, 30.726886725000046]]",4,禾龙商务大厦,AF00,310116,蒙山路939弄
"[[121.34387664000002, 30.728308950000038]]",4,金宇大楼,AF00,310116,龙胜路135
"[[121.33877741999999, 30.730117275]]",4,山鑫商务大楼,AF00,310116,蒙山路109弄8
"[[121.3406838, 30.731263695]]",4,金山卫商务大厦,AF00,310116,卫清西路421
"[[121.34167182000002, 30.731471955]]",4,山鑫城市广场,AF00,310116,卫清西路355
"[[121.34716056000003, 30.731592465000023]]",4,海鸥大厦,AF00,310116,龙胜路58号（近杭州湾大道）
"[[121.34755997999996, 30.732261569999963]]",4,海鸥大厦裙楼,AF00,310116,杭州湾大道601
"[[121.31375130000002, 30.73226188499999]]",4,金房大厦,AF00,310116,北泰路226
"[[121.33123289999997, 30.73910634]]",4,金山电力大楼,AF00,310116,金山大道
"[[121.29317819999999, 30.73916979000001]]",4,塑鼎大楼,AF00,310116,茸卫公路
"[[121.35400668, 30.739607145000047]]",4,雄建楼,AF00,310116,同凯路485
"[[121.33148238000001, 30.743503964999974]]",4,金山城投大厦,AF00,310116,浩源路289
"[[121.33379753999998, 30.761321895000037]]",4,雄建大楼,AF00,310116,松卫南路
"[[121.41690390000005, 30.796585379999996]]",4,连通大厦,AF00,310116,中一东路180号
"[[121.46226462000003, 30.81357972000004]]",4,Sｃｉｐ　ｔｏｗｅｒ,AF00,310120,月华路66号
"[[121.46176836000001, 30.815153819999985]]",4,置业大楼,AF00,310120,环华路1号102
"[[121.46099868, 30.817594619999966]]",4,化工区大厦,AF00,310120,目华路201号
"[[121.52717100000004, 30.826914840000008]]",4,海湾大楼,AF00,310120,海佳路18号
"[[121.34493396000002, 30.839316254999993]]",4,欧美亚商务办公楼,AF00,310116,亭卫公路6488号
"[[121.33655081999997, 30.851234729999987]]",4,朱行商厦,AF00,310116,开乐大街145
"[[121.84161084000003, 30.856307624999967]]",4,景港大楼,AF00,310115,
"[[121.84173233999996, 30.858048944999982]]",4,东海大桥综合楼,AF00,310115,芦潮港路1881
"[[121.84211520000002, 30.86094141000003]]",4,东海综合楼,AF00,310115,芦潮港路1696
"[[121.55523588, 30.86125366500002]]",4,纺俊大楼,AF00,310120,明城路850
