Point,Type,NAME,KIND,TELEPHONE,ADMINCODE,ADDRESS
"[[121.34982312000002, 30.717471644999982]]",6,金山卫海上客运站,8180,,310116,沪杭公路
"[[121.32255797999998, 30.776831639999997]]",6,金山新城出口,8301,,310116,G15-沈海高速公路
"[[121.32575118000005, 30.77841510000001]]",6,张堰出口,8301,,310116,G15-沈海高速公路
"[[121.24808837999998, 30.792825764999975]]",6,亭卫公路出口,8301,,310116,S19-新卫高速公路
"[[121.24431701999995, 30.797282160000016]]",6,上海华凯华美达广场酒店－游船码头,8301,,310116,S19-新卫高速公路
"[[121.35612510000001, 30.79743048000003]]",6,庄胡公路出口,8301,,310116,G15-沈海高速公路
"[[121.36106538000003, 30.805528455000015]]",6,吕巷出口,8301,,310116,G15-沈海高速公路
"[[121.45980672000002, 30.816443520000036]]",6,金山工业区大道出口,8180,,310120,环华路9号华凯华美达广场酒店
"[[121.42114559999996, 30.818456190000028]]",6,上海化工区（东）出口,8301,,310116,S4-沪金高速公路
"[[121.42780200000004, 30.82185999000002]]",6,芦潮港码头,8301,,310120,S4-沪金高速公路
"[[121.22243243999995, 30.838018049999967]]",6,上海南港,8301,,310116,S19-新卫高速公路
"[[121.35514265999998, 30.839407965000042]]",6,海湾路出口,8301,,310116,G15-沈海高速公路
"[[121.22110043999996, 30.842044065000017]]",6,兴塔出口,8301,,310116,S19-新卫高速公路
"[[121.45612085999996, 30.84325892999999]]",6,查验广场出口,8301,,310120,S4-沪金高速公路
"[[121.84544951999999, 30.847755419999977]]",6,芦潮港站进口,8180,021-58281919,310115,南芦公路
"[[121.83123041999997, 30.848972085000014]]",6,朱泾出口,8180,021-38298811,310115,层林路58
"[[121.35145967999999, 30.849998804999963]]",6,枫泾出口,8301,,310116,G15-沈海高速公路
"[[121.48672356000002, 30.859138080000044]]",6,洋山保税港区管委会出口,8301,,310120,S4-沪金高速公路
"[[121.08318462, 30.864270554999983]]",6,滴水湖出口,8301,,310116,S36-亭枫高速公路
"[[121.48680330000005, 30.865684319999986]]",6,两港大道出口,8301,,310120,S4-沪金高速公路
"[[121.08556313999998, 30.86569872000002]]",6,申隆生态园－游艇码头,8301,,310116,S36-亭枫高速公路
"[[121.88943611999997, 30.87527602500002]]",6,浦卫公路出口,8301,,310115,东海大桥
"[[121.86327042000002, 30.877194824999975]]",6,亭枫公路出口,8180,,310115,
"[[121.16487419999999, 30.87901516500004]]",6,临港新城出口,8301,,310116,S36-亭枫高速公路
"[[121.17231774, 30.87932764499996]]",6,新农出口,8301,,310116,S36-亭枫高速公路
"[[121.01929883999996, 30.880247759999975]]",6,奉城出口,8301,,310116,G60-杭州湾环线高速公路
